t,captures_total,captures_in,captures_out,M_total,M_in,M_out,G_total,G_in,G_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
1921,7,0,7,0,0,0,7,0,7,0.017183570829840733,0.018985682068495307,-0.0018021112386545739,0.016413130504403517,0.01875815026582405,-0.0023450197614205345,0.15011037527593818,27.153912002872254,0.01685313394305085
1922,8,3,5,0,0,0,8,3,5,0.017172774869109945,0.018980704697986576,-0.0018079298288766303,0.016406562625050015,0.01876567987957852,-0.0023591172545285068,0.15011037527593818,27.17031547100222,0.017114136541292096
1923,16,3,13,0,0,0,16,3,13,0.017161992465466718,0.018967775740110035,-0.0018057832746433168,0.016406562625050015,0.01875250701965503,-0.0023459443946050144,0.15011037527593818,27.187112099608054,0.017357643945701027
1924,17,1,16,0,0,0,17,1,16,0.017158401339192296,0.018951887335741584,-0.0017934859965492884,0.016406562625050015,0.018743109151047405,-0.00233654652599739,0.15011037527593818,27.20429354436961,0.017587307847450617
1925,10,4,6,1,1,0,9,3,6,0.01735312565335563,0.01894593604438164,-0.0015928103910260102,0.016799999999999995,0.018750626692068582,-0.001950626692068587,0.15011037527593818,27.221825807778956,0.01780057864847009
1926,5,1,4,0,0,0,5,1,4,0.017349498327759193,0.018941970592852284,-0.0015924722650930909,0.016799999999999995,0.01876567987957852,-0.001965679879578526,0.15011037527593818,27.239674279290252,0.017997236031240028
1927,15,5,10,0,0,0,15,5,10,0.017331384422635203,0.0189320642225825,-0.0016006797999472966,0.01678657074340527,0.01876379690949227,-0.0019772261660870004,0.15011037527593818,27.25779873433583,0.018176608677370375
1928,10,2,8,0,0,0,10,2,8,0.01732414944687956,0.018924146583721053,-0.0015999971368414918,0.016793282686925225,0.01876567987957852,-0.001972397192653297,0.15011037527593818,27.276175841143807,0.018340121189626902
1929,13,2,11,0,0,0,13,2,11,0.017316920509075732,0.01891327063740857,-0.0015963501283328373,0.016833667334669334,0.01865971107544141,-0.001826043740772075,0.15011037527593818,27.294805701960136,0.018489816961943798
1930,15,2,13,0,0,0,15,2,13,0.0173096976016684,0.01890043335247742,-0.0015907357508090185,0.01682692307692307,0.01865596790371113,-0.00182904482678806,0.15011037527593818,27.313657871409177,0.018622754626389793
1931,10,2,8,0,0,0,10,2,8,0.01730248071711486,0.01889254214289442,-0.0015900614257795612,0.016840417000801917,0.01865971107544141,-0.0018192940746394916,0.15011037527593818,27.332686910000593,0.018737444095095885
1932,20,5,15,0,0,0,20,5,15,0.017284464806330693,0.01887776387150605,-0.0015932990651753576,0.016833667334669334,0.018652226233453667,-0.001818558898784333,0.15011037527593818,27.351877395670076,0.018836574966338917
1933,7,1,6,1,0,1,6,1,5,0.017280866125338325,0.018923991241789177,-0.0016431251164508512,0.01682692307692307,0.018760032102728728,-0.0019331090258056585,0.15011037527593818,27.371231131218345,0.018921666455680605
1934,10,3,7,0,0,0,10,3,7,0.017270079067831873,0.018917087914951274,-0.0016470088471194008,0.016820184221065272,0.01876191431724691,-0.0019417300961816382,0.15011037527593818,27.390688069434383,0.018986929619731068
1935,7,0,7,0,0,0,7,0,7,0.017270079067831873,0.01891018962283809,-0.0016401105550062182,0.01643286573146292,0.01876567987957852,-0.002332814148115602,0.15011037527593818,27.410235515760583,0.019036696856950253
1936,11,3,8,0,0,0,11,3,8,0.017259305468912453,0.018902312018329516,-0.0016430065494170629,0.01643286573146292,0.01876379690949227,-0.0023309311780293496,0.15011037527593818,27.429811564152033,0.019066374525700078
1937,11,2,9,1,1,0,10,1,9,0.017459987528580332,0.018893457554780616,-0.0014334700262002842,0.01682692307692307,0.018756268806419254,-0.0019293457294961847,0.15011037527593818,27.449414064675494,0.01908146922310711
1938,10,1,9,1,0,1,9,1,8,0.017456359102244384,0.018936635105608158,-0.0014802760033637737,0.016820184221065272,0.018860353130016046,-0.002040168908950774,0.15011037527593818,27.46899306244057,0.019077543900292496
1939,15,4,11,0,0,0,15,4,11,0.017441860465116275,0.01892580460666563,-0.001483944141549353,0.01681345076060848,0.01886224540985251,-0.0020487946492440297,0.15011037527593818,27.488535898694227,0.019058051981402285
1940,8,0,8,0,0,0,8,0,8,0.017441860465116275,0.01891793565822982,-0.0014760751931135463,0.016833667334669334,0.018871712507528605,-0.0020380451728592708,0.15011037527593818,27.508001479990234,0.019020375382327825
1941,17,3,14,1,0,1,16,3,13,0.01743100228263125,0.018956115294728643,-0.001525113012097394,0.016853932584269656,0.018962576502458108,-0.0021086439181884527,0.15011037527593818,27.527362960064334,0.018965859667299502
1942,11,3,8,0,0,0,11,3,8,0.01742015761094981,0.018948242745159112,-0.0015280851342093019,0.016833667334669334,0.01886603110888108,-0.0020323637742117456,0.15011037527593818,27.546598522476728,0.01889501051494135
1943,12,1,11,1,0,1,11,1,10,0.017416545718432506,0.018989312026564283,-0.0015727663081317768,0.016847172081829117,0.018966382338183638,-0.002119210256354521,0.15011037527593818,27.56567856034585,0.018807159651802317
1944,7,2,5,0,0,0,7,2,5,0.017409326424870464,0.01898438715701022,-0.0015750607321397547,0.016847172081829117,0.018970189701897015,-0.0021230176200678977,0.15011037527593818,27.584585265910153,0.0187034651201678
1945,14,2,12,0,0,0,14,2,12,0.017402113113735237,0.018972577886060858,-0.0015704647723256207,0.016847172081829117,0.018972093957036737,-0.00212492187520762,0.15011037527593818,27.603278309290907,0.018581920384131492
1946,9,2,7,0,0,0,9,2,7,0.0173949057775937,0.01896569592703907,-0.0015707901494453717,0.016853932584269656,0.01896447922937989,-0.002110546645110234,0.15011037527593818,27.621706584085523,0.01844161811621633
1947,11,1,10,0,0,0,11,1,10,0.017391304347826084,0.018955873213175885,-0.001564568865349801,0.016867469879518066,0.018962576502458108,-0.0020951066229400427,0.15011037527593818,27.6398654495086,0.01828696330134324
1948,16,2,14,0,0,0,16,2,14,0.017384105960264896,0.018942138494979815,-0.001558032534714919,0.016860698514652744,0.018962576502458108,-0.002101877987805364,0.15011037527593818,27.657729382471,0.018116139675603212
1949,13,1,12,1,0,1,12,1,11,0.017380509000620728,0.018982104065377058,-0.0016015950647563296,0.016881028938906747,0.019047619047619046,-0.002166590108712299,0.15011037527593818,27.67525575978654,0.017927692625485974
1950,14,3,11,0,0,0,14,3,11,0.0173697270471464,0.0189713104161282,-0.0016015833689818001,0.016874246685415824,0.019053349378259123,-0.002179102692843299,0.15011037527593818,27.69241465058969,0.017722937598944794
1951,13,3,10,0,0,0,13,3,10,0.017358958462492247,0.018961508654094548,-0.0016025501916023012,0.016881028938906747,0.019045709703287887,-0.0021646807643811404,0.15011037527593818,27.709172374983698,0.017501680452104977
1952,7,0,7,0,0,0,7,0,7,0.017358958462492247,0.018954653444892056,-0.001595694982399809,0.016915022150624237,0.019041892162758065,-0.002126870012133828,0.15011037527593818,27.725501260284247,0.017264642252456896
1953,10,2,8,0,0,0,10,2,8,0.01735178682090477,0.018946824987093443,-0.001595038166188674,0.016915022150624237,0.019049528774814514,-0.002134506624190277,0.15011037527593818,27.741392784679995,0.017013773230492028
1954,11,2,9,1,0,1,10,2,8,0.01734462110262234,0.018989627947778524,-0.0016450068451561856,0.01692865779927448,0.01915555109818473,-0.0022268932989102513,0.15011037527593818,27.75681092453358,0.016746716527806713
1955,18,5,13,0,0,0,18,5,13,0.017326732673267325,0.018976897689768978,-0.0016501650165016528,0.01690821256038647,0.01896067415730337,-0.0020524615969169,0.15011037527593818,27.77175297164819,0.01646675678900497
