t,rfront,global_diff
233,0.0,2.4414062499971446e-10
234,0.0,2.441406249997947e-10
235,0.0,2.441406249997987e-10
236,0.0,2.441406249998113e-10
237,0.0,2.441406249998418e-10
238,0.0,2.4414062499984805e-10
239,0.0,2.441406249998271e-10
240,0.0,2.4414062499987007e-10
241,0.0,2.441406249998434e-10
242,0.0,2.441406249998109e-10
243,0.0,2.441406249997799e-10
244,0.0,2.4414062499975183e-10
245,0.0,2.4414062499970236e-10
246,0.0,2.4414062499969657e-10
247,0.0,2.4414062499972314e-10
248,0.0,2.441406249997225e-10
249,0.0,2.4414062499976114e-10
250,0.0,2.4414062499976833e-10
251,0.0,2.4414062499977453e-10
252,0.0,2.441406249996917e-10
253,0.0,2.441406249996978e-10
254,0.0,2.441406249997091e-10
255,0.0,2.4414062499969155e-10
256,0.0,2.44140624999712e-10
257,0.0,2.441406249997345e-10
258,0.0,2.441406249997581e-10
259,0.0,2.441406249997443e-10
260,0.0,2.4414062499972443e-10
261,0.0,2.4414062499969057e-10
262,0.0,2.4414062499975385e-10
263,0.0,2.441406249997384e-10
264,0.0,2.4414062499973503e-10
265,0.0,2.441406249997024e-10
266,0.0,2.441406249997194e-10
267,0.0,2.441406249997144e-10
268,0.0,2.4414062499971125e-10
269,0.0,2.441406249997366e-10
270,0.0,2.441406249997096e-10
271,0.0,2.4414062499967253e-10
272,0.0,2.441406249996909e-10
273,0.0,2.441406249996982e-10
274,0.0,2.44140624999749e-10
275,0.0,2.441406249997918e-10
276,0.0,2.441406249997992e-10
277,0.0,2.4414062499980317e-10
278,0.0,2.4414062499979066e-10
279,0.0,2.4414062499979056e-10
280,0.0,2.441406249997502e-10
281,0.0,2.4414062499976967e-10
282,0.0,2.4414062499974806e-10
283,0.0,2.441406249997582e-10
284,0.0,2.441406249998361e-10
285,0.0,2.441406249998529e-10
286,0.0,2.4414062499983104e-10
287,0.0,2.4414062499985125e-10
288,0.0,2.4414062499981837e-10
289,0.0,2.441406249998189e-10
290,0.0,2.441406249997904e-10
291,0.0,2.4414062499980865e-10
292,0.0,2.4414062499977655e-10
293,0.0,2.4414062499977474e-10
294,0.0,2.441406249997633e-10
295,0.0,2.441406249997743e-10
296,0.0,2.4414062499979345e-10
297,0.0,2.441406249998103e-10
298,0.0,2.4414062499976207e-10
299,0.0,2.441406249997601e-10
300,0.0,2.441406249997983e-10
