t,S_2_6,S_2_3,S_2_4,S_2_5
1.1350000000,0.6358260668,0.2932108539,0.4172036023,0.1503806662
1.1400000000,0.6414588681,0.2937408493,0.4156870795,0.1549634356
1.1450000000,0.6466985747,0.2942460091,0.4139129925,0.1595977205
1.1500000000,0.6515368248,0.2947291278,0.4118895799,0.1642489146
1.1550000000,0.6559658135,0.2951930480,0.4096256398,0.1688855145
1.1600000000,0.6599783057,0.2956406529,0.4071305189,0.1734789260
1.1650000000,0.6635676481,0.2960748601,0.4044141036,0.1780032507
1.1700000000,0.6667277815,0.2964986145,0.4014868117,0.1824350710
1.1750000000,0.6694532519,0.2969148809,0.3983595868,0.1867532429
1.1800000000,0.6717392214,0.2973266376,0.3950438942,0.1909387038
1.1850000000,0.6735814784,0.2977368689,0.3915517189,0.1949742987
1.1900000000,0.6749764476,0.2981485579,0.3878955656,0.1988446271
1.1950000000,0.6759211988,0.2985646798,0.3840884605,0.2025359096
1.2000000000,0.6764134552,0.2989881946,0.3801439541,0.2060358746
1.2050000000,0.6764516014,0.2994220401,0.3760761244,0.2093336625
1.2100000000,0.6760346896,0.2998691249,0.3718995783,0.2124197468
1.2150000000,0.6751624466,0.3003323218,0.3676294505,0.2152858704
1.2200000000,0.6738352781,0.3008144609,0.3632813953,0.2179249934
1.2250000000,0.6720542741,0.3013183228,0.3588715696,0.2203312537
1.2300000000,0.6698212121,0.3018466326,0.3544166009,0.2224999348
1.2350000000,0.6671385597,0.3024020532,0.3499335368,0.2244274427
1.2400000000,0.6640094771,0.3029871792,0.3454397709,0.2261112873
1.2450000000,0.6604378176,0.3036045311,0.3409529409,0.2275500671
1.2500000000,0.6564281280,0.3042565494,0.3364907959,0.2287434567
1.2550000000,0.6519856479,0.3049455890,0.3320710341,0.2296921920
1.2600000000,0.6471163080,0.3056739140,0.3277111157,0.2303980539
1.2650000000,0.6418267277,0.3064436926,0.3234280582,0.2308638461
1.2700000000,0.6361242120,0.3072569919,0.3192382290,0.2310933644
1.2750000000,0.6300167468,0.3081157738,0.3151571495,0.2310913560
1.2800000000,0.6235129945,0.3090218901,0.3111993283,0.2308634648
1.2850000000,0.6166222879,0.3099770789,0.3073781353,0.2304161614
1.2900000000,0.6093546239,0.3109829602,0.3037057256,0.2297566555
1.2950000000,0.6017206560,0.3120410328,0.3001930147,0.2288927895
1.3000000000,0.5937316868,0.3131526707,0.2968496981,0.2278329159
1.3050000000,0.5853996594,0.3143191203,0.2936843061,0.2265857580
1.3100000000,0.5767371484,0.3155414975,0.2907042791,0.2251602616
1.3150000000,0.5677573504,0.3168207850,0.2879160524,0.2235654427
1.3200000000,0.5584740744,0.3181578307,0.2853251374,0.2218102402
1.3250000000,0.5489017313,0.3195533452,0.2829361947,0.2199033851
1.3300000000,0.5390553243,0.3210079006,0.2807530934,0.2178532959
1.3350000000,0.5289504381,0.3225219288,0.2787789591,0.2156680108
1.3400000000,0.5186032289,0.3240957208,0.2770162098,0.2133551646
1.3450000000,0.5080304141,0.3257294258,0.2754665876,0.2109220184
1.3500000000,0.4972492631,0.3274230507,0.2741311874,0.2083755420
1.3550000000,0.4862775880,0.3291764600,0.2730104908,0.2057225537
1.3600000000,0.4751337347,0.3309893762,0.2721044082,0.2029699158
1.3650000000,0.4638365759,0.3328613803,0.2714123356,0.2001247875
1.3700000000,0.4524055043,0.3347919128,0.2709332303,0.1971949413
1.3750000000,0.4408604267,0.3367802748,0.2706657107,0.1941891561
1.3800000000,0.4292217608,0.3388256299,0.2706081860,0.1911177142
1.3850000000,0.4175104315,0.3409270065,0.2707590231,0.1879930506
1.3900000000,0.4057478709,0.3430833003,0.2711167557,0.1848306411
1.3950000000,0.3939560178,0.3452932772,0.2716803474,0.1816502745
1.4000000000,0.3821573203,0.3475555770,0.2724495139,0.1784779634
1.4050000000,0.3703747393,0.3498687173,0.2734251118,0.1753489328
