t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
90,8.640625,0.0,365,0,0.012432506609818792,3.406166194470902e-05,0.5123916240385179,0.054318338457198405,0.12714882157421167,0.009972385923788145,1.3848522017249387
91,8.588541666666666,0.0,365,0,0.00904716987858889,2.4786766790654493e-05,0.5037789140727874,0.05166597196352144,0.12740657979419426,0.010024356067495343,1.3848522017249387
92,8.588541666666666,0.0,365,0,0.006525596860453651,1.7878347562886716e-05,0.4946832605193959,0.04837619490567853,0.1273957426317662,0.010025871113804744,1.3848522017249387
93,8.588541666666666,0.0,365,0,0.004733246771266212,1.296779937333209e-05,0.48632216818537494,0.04595813283258942,0.12738773723313823,0.01002687231952093,1.3848522017249387
94,8.588541666666666,0.0,365,0,0.0034373252680950867,9.417329501630375e-06,0.4794720134197521,0.04375172281749899,0.12738182685824898,0.010027536534704075,1.3848522017249387
95,8.588541666666666,0.0,365,0,0.00249944503906556,6.847794627576877e-06,0.4732848195670878,0.0417478462219733,0.12737745702509798,0.010027978298546358,1.3848522017249387
96,8.588541666666666,0.0,365,0,0.0018182688799336527,4.981558575160692e-06,0.4685762121594674,0.03994986382917553,0.127374232130875,0.010028272941491528,1.3848522017249387
97,8.541666666666666,0.0,365,0,0.0013238549872359021,3.626999965029869e-06,0.4643556742533439,0.03831668932579425,0.12692037693021552,0.010067471235498828,1.3848522017249387
98,8.541666666666666,0.0,365,0,0.0009591351938703128,2.627767654439213e-06,0.46117882814715694,0.03704034511550076,0.12691861220009118,0.010067603850562979,1.3848522017249387
99,8.541666666666666,0.0,365,0,0.0006995299597006869,1.9165204375361288e-06,0.45781164875763664,0.03570246213729968,0.12691730610907145,0.010067692431588417,1.3848522017249387
100,8.541666666666666,0.0,365,0,0.0005111432130955153,1.4003923646452475e-06,0.45464627747180913,0.0344239026296865,0.12691634132142884,0.010067751741263337,1.399992688285319
101,8.541666666666666,0.0,365,0,0.00037386634416077284,1.024291353865131e-06,0.4518511002425937,0.03325977046143456,0.12691562840395193,0.010067791567862725,1.399992688285319
102,8.541666666666666,0.0,365,0,0.0002736546597390041,7.497387938054908e-07,0.4494316509077243,0.03226154754739048,0.12691510234501743,0.010067818468831386,1.399992688285319
103,8.5,0.0,365,0,0.0002012550618206176,5.513837310153907e-07,0.45069970510046126,0.03322430803901782,0.1265819690075997,0.010103526859122226,1.399992688285319
104,8.5,0.0,365,0,0.00014630013536281385,4.008222886652434e-07,0.4451506727245597,0.03081726175969433,0.12658168388742172,0.010103539253086687,1.399992688285319
105,8.5,0.0,365,0,0.0001068056085939168,2.9261810573675835e-07,0.44419712057303845,0.030388065042519015,0.12658147535270173,0.010103547752440658,1.399992688285319
106,8.5,0.0,365,0,7.819042114941722e-05,2.1422033191621154e-07,0.4428037697215466,0.029950783343565743,0.12658132234314615,0.010103553552791035,1.399992688285319
107,8.5,0.0,365,0,5.7314567153019997e-05,1.5702621137813697e-07,0.44169700232392184,0.029549404654858592,0.12658120951762944,0.01010355751121214,1.399992688285319
108,8.5,0.0,365,0,4.206160513788981e-05,1.1523727435038304e-07,0.44054316296910223,0.029224518059825386,0.12658112619060022,0.010103560210469334,1.399992688285319
109,8.4375,0.0,365,0,3.077107632227594e-05,8.430431869116696e-08,0.4412545076694755,0.031776163859063705,0.1236738994293163,0.010135839685652154,1.399992688285319
110,8.4375,0.0,365,0,2.2456719179276953e-05,6.152525802541631e-08,0.4390743223693372,0.029525710583041764,0.1236738548074899,0.010135840969804572,1.54526417246753
111,8.4375,0.0,365,0,1.654040354968539e-05,4.531617410872709e-08,0.4384491543884747,0.029398522836966645,0.12367382195315157,0.010135841846940597,1.54526417246753
112,8.4375,0.0,365,0,1.2225199532370236e-05,3.349369734895955e-08,0.43756037994098557,0.029055136516418587,0.12367379758504711,0.010135842439977413,1.54526417246753
113,8.4375,0.0,365,0,9.051479371834727e-06,2.4798573621465005e-08,0.4368479861714371,0.028779359445916395,0.12367377949677928,0.01013584283966414,1.54526417246753
