t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
6120,18,3,15,0,0,0,0.01801053923337905,0.017459378271357698,0.0005511609620213534,0.01923917796239615,0.016928524009736667,0.002310653952659482,0.15011037527593818,6.532233132868028,0.0019987089624249554,1.0
6121,34,4,30,1,1,0,0.01804402742692169,0.017454611639441234,0.0005894157874804552,0.019466316710411196,0.016855484940591324,0.002610831769819872,0.15011037527593818,6.533484912303967,0.002008958979660769,1.0
6122,21,2,19,0,0,0,0.01804272517321016,0.01745159411850342,0.0005911310547067408,0.019483362521891416,0.016857348145691703,0.002626014376199713,0.15011037527593818,6.534760340443256,0.0020178566311290147,1.0
6123,24,10,14,1,1,0,0.018072289156626505,0.017449371349551483,0.000622917807075022,0.01946205991690356,0.016859211762754962,0.002602848154148598,0.15011037527593818,6.536032146216002,0.0020227928294422604,1.0
6124,20,3,17,1,0,1,0.01807033363390442,0.0174557693182335,0.000614564315670918,0.019474835886214438,0.01691542288557214,0.0025594130006422987,0.15011037527593818,6.537304333191439,0.002026657421022646,1.0
6125,23,7,16,0,0,0,0.018065772392903506,0.017453229165719276,0.0006125432271842299,0.019457804984696105,0.01691448786689514,0.0025433171178009632,0.15011037527593818,6.5385947112514184,0.0020307255603803794,1.0
6126,18,3,15,1,0,1,0.018063818280151432,0.01745994216394158,0.0006038761162098505,0.019457804984696105,0.016968826000442184,0.0024889789842539208,0.15011037527593818,6.539856956132701,0.002029057633043061,1.0
6127,25,4,21,1,0,1,0.018061213453981758,0.01746570049187631,0.0005955129621054468,0.0194535519125683,0.01701657458563536,0.0024369773269329424,0.15011037527593818,6.5411154154181945,0.0020281943943541957,1.0
6128,30,7,23,0,0,0,0.018056656815396813,0.017462048904645033,0.00059460791075178,0.01943655820048045,0.016960388928788466,0.002476169271691985,0.15011037527593818,6.542343030604689,0.002023377662731995,1.0
6129,30,6,24,1,0,1,0.018052752954742,0.01746732828034971,0.0005854246743922896,0.01942807247325911,0.017008117510630073,0.0024199549626290374,0.15011037527593818,6.5435628249467594,0.002019245202279117,1.0
6130,20,6,14,1,0,1,0.01804885078175661,0.01747419307938354,0.0005746577023730687,0.019432314410480347,0.017007178354500278,0.002425136055980069,0.15011037527593818,6.544760590510438,0.0020123538650086456,1.0
6131,23,7,16,0,0,0,0.01804430037817396,0.017471652856519842,0.0005726475216541183,0.01942807247325911,0.01695945199425478,0.0024686204790043305,0.15011037527593818,6.545940727192588,0.002004430357410613,1.0
6132,21,3,18,3,0,3,0.018042350907519447,0.017496048400283425,0.0005463025072360225,0.019466316710411196,0.01713085764809903,0.0023354590623121674,0.15011037527593818,6.547106734658099,0.0019953972399334033,1.0
