t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
4427,23,7,16,0,0,0,0.019953171128983,0.018440894729554524,0.0015122763994284763,0.020561574176431566,0.018290636536525337,0.0022709376399062293,0.15011037527593818,6.2897974616957,0.0015685746026930206,1.0
4428,26,7,19,0,0,0,0.019946064214114892,0.018436485364073392,0.0015095788500415,0.020538869257950527,0.018178767199910503,0.0023601020580400235,0.15011037527593818,6.290541037439323,0.0016028006007651869,1.0
4429,23,5,18,4,1,3,0.019991860820022384,0.018470055359838953,0.0015218054601834306,0.020778072502210428,0.018183852738767974,0.0025942197634424534,0.15011037527593818,6.291330267561432,0.0016369040601956774,1.0
4430,22,2,20,1,0,1,0.019989827060020345,0.018477987421383648,0.0015118396386366965,0.020796460176991147,0.018231642525585817,0.0025648176514053295,0.15011037527593818,6.292172655151634,0.0016703545307247029,1.0
4431,14,3,11,0,0,0,0.01998677719574836,0.01847543107243023,0.0015113461233181302,0.02081027230462696,0.018238782589235763,0.0025714897153911974,0.15011037527593818,6.293070913110852,0.0017029712148821654,1.0
4432,18,9,9,0,0,0,0.019977633184221227,0.01847334004024145,0.0015042931439797763,0.020791860207918598,0.018248992386923422,0.0025428678209951754,0.15011037527593818,6.29401170360707,0.0017332639283316295,1.0
4433,19,5,14,0,0,0,0.01997255679219393,0.018470088264138606,0.001502468528055325,0.020773480662983422,0.018254101573436363,0.0025193790895470594,0.15011037527593818,6.2949794985716565,0.001761137785826193,1.0
4434,21,2,19,0,0,0,0.019970526957670612,0.018465676970070267,0.0015048499876003443,0.020588886429045824,0.01825819098291795,0.002330695446127875,0.15011037527593818,6.295989383988149,0.0017887533834672175,1.0
4435,21,5,16,0,0,0,0.01996545417598049,0.01846196383013485,0.00150349034584564,0.020575221238938048,0.01826023637483896,0.0023149848640990865,0.15011037527593818,6.2970644498346,0.0018170855195173469,1.0
4436,14,2,12,1,0,1,0.0199634257848217,0.018471745768462323,0.0014916800163593778,0.020584329349269584,0.018263305322128852,0.002321024027140732,0.15011037527593818,6.298181242865498,0.001842053238267184,1.0
4437,16,4,12,1,1,0,0.020010157440325037,0.018468960838264672,0.001541196602060365,0.020814880425155,0.01827456696003139,0.0025403134651236087,0.15011037527593818,6.299345446375768,0.0018661191598261817,1.0
4438,22,4,18,2,0,2,0.020006093226363358,0.018489907173631786,0.0015161860527315718,0.020801062181898648,0.018392867156395445,0.002408195025503202,0.15011037527593818,6.300546633782047,0.0018883336929928693,1.0
4439,19,4,15,0,0,0,0.020002030663011473,0.01848642403235124,0.0015156066306602316,0.020353982300884952,0.018339876612450925,0.002014105688434027,0.15011037527593818,6.301793738406492,0.0019095668427463956,1.0
4440,35,8,27,1,0,1,0.019993910484116514,0.018492712138902488,0.0015011983452140262,0.020331491712707178,0.018395961862030286,0.0019355298506768918,0.15011037527593818,6.303052132203679,0.0019265511210607993,1.0
4441,24,2,22,1,0,1,0.019991881469454027,0.01850015688735488,0.0014917245820991465,0.02033598585322723,0.018446874123913652,0.0018891117293135772,0.15011037527593818,6.304352133091417,0.0019447374441162694,1.0
4442,23,9,14,0,0,0,0.019982755997362683,0.01849690672489302,0.0014858492724696623,0.020322509388115747,0.018452047111609648,0.001870462276506099,0.15011037527593818,6.3056820847135295,0.0019608581167823444,1.0
4443,27,9,18,0,0,0,0.019973638852276182,0.01849272962224146,0.001480909230034723,0.020309050772626926,0.01844894297089665,0.0018601078017302757,0.15011037527593818,6.307046822729911,0.0019757384588564102,1.0
4444,24,7,17,0,0,0,0.019966553489079206,0.018488786312779087,0.0014777671763001182,0.02029560997132142,0.01839080459770115,0.0019048053736202691,0.15011037527593818,6.308403823487784,0.0019853195898497746,1.0
4445,26,2,24,2,0,2,0.01996453002280213,0.018508301148618147,0.0014562288741839825,0.02029113365681517,0.018497757847533634,0.0017933758092815374,0.15011037527593818,6.309794589610693,0.0019970332055532134,1.0
