t,L,S,P,tau_max,tau_mean,tau_gini,tau_topk_frac
85,1.1290366911369931,18,0.06272426061872184,0.2017738849408832,0.03642053842377397,0.7246763849674742,0.9225696653948904
86,1.1453723775488345,18,0.06363179875271302,0.20096613691569856,0.036947496049962406,0.7011536124768061,0.8977702182779488
87,1.149193537455095,18,0.06384408541417194,0.2070404037848933,0.037070759272745,0.7083453824174245,0.9047187861042324
88,1.1503984836251857,18,0.06391102686806588,0.2077908811430222,0.03710962850403825,0.7152299912082423,0.9103174597756873
89,1.1650200431441968,18,0.06472333573023316,0.20366738253364988,0.03758129171432893,0.6960294453775854,0.8916500544356529
90,1.1771486354777223,18,0.06539714641542901,0.20192936788338076,0.037972536628313625,0.6832429164432697,0.8840003521109595
91,1.1762159102996987,17,0.06918917119409992,0.20823214921597136,0.03794244871934512,0.697274988463431,0.8963718863936622
92,1.184820474085584,17,0.06969532200503437,0.2075125699541532,0.03822001529308336,0.6788345907920488,0.8822267444651911
93,1.1658553355778472,17,0.0685797256222263,0.203527657030171,0.03760823663154346,0.6984000748219777,0.8918201288821173
94,1.1474648075901301,17,0.06749792985824295,0.20189146635372704,0.037014993793230005,0.710184032777893,0.9033423807016123
95,1.12629762312732,17,0.06625280136043059,0.20068756837510957,0.03633218139120387,0.7241365156308381,0.9172759551057756
96,1.155238813983618,17,0.06795522435197754,0.2059618073307769,0.03726576819301994,0.7081871129120448,0.9029907459088429
97,1.160090093921026,17,0.06824059376006035,0.20787839524026394,0.037422261094226646,0.7071392298976468,0.9044139431513474
98,1.1482199935351765,17,0.06754235256089273,0.20107026850733298,0.037039354630166985,0.710069044877979,0.9109658093058762
99,1.149077127545334,16,0.07181732047158337,0.20601403933382303,0.037067004114365615,0.7094432986431971,0.9042763712519768
100,1.1581061231887726,16,0.07238163269929829,0.20239158923206876,0.0373582620383475,0.6977608618971441,0.8913253535769681
101,1.157719466441082,16,0.07235746665256762,0.2085982213469922,0.0373457892400349,0.696429556944186,0.8938657851342284
102,1.162762924500559,15,0.07751752830003728,0.2056192469069514,0.03750848143550191,0.6978809606847235,0.8938852311868665
103,1.1650910463322546,15,0.0776727364221503,0.2086823714688718,0.037583582139750146,0.7012363027143083,0.8975830536151301
104,1.154644855280005,15,0.07697632368533366,0.20247410937709634,0.03724660823483887,0.7051352085083339,0.9021796233419741
105,1.1633844817877717,15,0.07755896545251811,0.20555181610761025,0.03752853167057328,0.6943787232959876,0.8889476471896879
106,1.1478875537899313,14,0.08199196812785224,0.2008157967161363,0.037028630767417144,0.6895618113040247,0.8853111632112224
107,1.1576145165485252,14,0.08268675118203751,0.20435030731758588,0.03734240375962985,0.6960100356909272,0.8932853597656176
108,1.1470285381745848,14,0.0819306098696132,0.20049745124295382,0.03700092058627693,0.7070917894485372,0.9083101155611213
109,1.1670766166352142,14,0.08336261547394387,0.201856730977468,0.03764763279468433,0.6983608631523248,0.8947817719396678
110,1.1485178347087872,13,0.08834752574682979,0.20570478953205037,0.037048962409960876,0.7012454792448388,0.8938995997180444
111,1.1878968572136477,13,0.09137668132412674,0.2012311603893707,0.038319253458504766,0.675423269728206,0.8785011472828429
112,1.1475782554128287,13,0.08827525041637144,0.2035509827654113,0.037018653400413826,0.69771424494923,0.8994585021758186
113,1.1505964226694305,13,0.08850741712841773,0.20995715484455452,0.037116013634497756,0.6935470939690483,0.8927927632571938
114,1.1828172718179897,13,0.09098594398599921,0.2097228378230725,0.03815539586509644,0.683367871705462,0.8829341953327391
115,1.1197601334137146,12,0.09331334445114288,0.20239898956149058,0.03612129462624886,0.7197057255302766,0.9159771126712271
116,1.1318058881423867,12,0.0943171573451989,0.2032805749773269,0.036509867359431826,0.7152812102744406,0.9123441021627272
117,1.110255583034056,12,0.09252129858617132,0.20369562481148243,0.03581469622690503,0.7313466157644545,0.9279014325147821
118,1.1299849051433977,12,0.0941654087619498,0.20687732319843122,0.036451125972367666,0.7095690534441215,0.904251930364572
119,1.125347396130861,12,0.09377894967757176,0.20439323860227537,0.03630152890744713,0.7240687389547623,0.9211799301136496
120,1.1211339842167425,11,0.10192127129243113,0.20663521350209182,0.03616561239408847,0.7178805191316432,0.9099254697370813
121,1.1308423880648502,11,0.10280385346044092,0.2027309915147849,0.03647878671176936,0.698765441969796,0.8916843821542157
122,1.1372567027114275,11,0.10338697297376614,0.20771471121261068,0.036685700087465405,0.7008814499888616,0.8938581932108718
123,1.1018874188701802,11,0.10017158353365274,0.2020183427322302,0.035544755447425164,0.7248656765151731,0.9160899307188455
124,1.1172182425696096,11,0.10156529477905542,0.20762854972679362,0.03603929814740676,0.7351410730066548,0.9197759255290548
125,1.1153605713391586,11,0.10139641557628715,0.20834476546068095,0.03597937326900511,0.7232008711513982,0.9111746135642159
126,1.1368556392433753,11,0.10335051265848866,0.2044162065876748,0.036672762556237914,0.7027425032622001,0.8968563639966576
127,1.0522485761596403,10,0.10522485761596403,0.20454071716558125,0.03394350245676259,0.7465328992435719,0.9178414910520428
128,1.0549715611110129,10,0.10549715611110129,0.20459061894768246,0.034031340681000416,0.7308348950091436,0.9055284781565339
129,1.0499763386868177,10,0.10499763386868177,0.20710626714643293,0.03387020447376831,0.7340812055773424,0.9105936403007255
130,1.048709764098817,10,0.1048709764098817,0.20623573983411178,0.0338293472289941,0.7448379851904043,0.9195009790092497
131,1.0480112695785913,10,0.10480112695785912,0.20331823609205013,0.03380681514769649,0.7336288695022404,0.9102032367001874
132,1.0756202337644163,10,0.10756202337644163,0.2080384555882861,0.034697426895626333,0.725394789524305,0.9002199554345655
133,1.0441456122906887,10,0.10441456122906886,0.20590291142228354,0.03368211652550609,0.7387312405078956,0.9119385505148658
134,1.033016848517193,10,0.10330168485171931,0.20191469072187843,0.03332312414571591,0.7494380413653771,0.9207773062983526
135,1.0619323378777221,10,0.1061932337877722,0.20729236017951627,0.034255881867023295,0.7279013306780884,0.9030922124497249
136,1.0664948120347062,10,0.10664948120347062,0.20145519657360114,0.034403058452732456,0.72575763605422,0.897906619824327
137,1.0781143199436405,10,0.10781143199436405,0.20614645325945746,0.03477788128850453,0.7240712645080746,0.8985887057787556
138,1.0448588252362772,10,0.10448588252362771,0.20088157869460116,0.033705123394718615,0.7365468969784589,0.9118454306182104
139,1.084625866396809,10,0.10846258663968089,0.20770212510912717,0.03498793117409061,0.704524593439804,0.8838069223065773
140,1.0462642717212067,10,0.10462642717212067,0.2086464671413643,0.03375046037810344,0.7375217262731,0.9078085726574768
141,1.0454401113181315,9,0.11616001236868129,0.2037082885773199,0.033723874558649405,0.7436611426225577,0.9153658832971285
142,1.0741205961422275,9,0.11934673290469194,0.2068239347464883,0.034649051488458954,0.7215219632274155,0.8996341556344949
143,1.0624498027599842,9,0.11804997808444269,0.2051631623234302,0.03427257428258014,0.7280780194920561,0.9088353412853567
144,1.0731327354502165,9,0.11923697060557961,0.20645683054695263,0.034617185014523114,0.7164170254543657,0.8964149528576149
145,1.0651694767619828,9,0.11835216408466476,0.20164861502639206,0.034360305701999445,0.7177385254492985,0.8973831654670071
146,1.054251996413786,9,0.11713911071264288,0.20896022905313624,0.03400812891657374,0.7520696204084668,0.9238962741664345
147,1.059432208595007,9,0.11771468984388966,0.20453178522370583,0.03417523253532281,0.7268837564575041,0.903918240193856
148,1.0569815894033268,9,0.11744239882259186,0.20220485778098024,0.03409618030333312,0.7230379915588538,0.9018064478526264
149,1.0254529161709849,9,0.11393921290788721,0.20641353133445764,0.03307912632809629,0.756826821557984,0.9293754322854852
150,1.03695958782675,9,0.11521773198074999,0.20130066305205122,0.033450309284733866,0.734511658379452,0.9069503648798873
151,1.0692930073300915,9,0.11881033414778794,0.20615831220828595,0.03449332281709973,0.7331805644981421,0.9088653083127451
152,1.0744130949964832,9,0.11937923277738702,0.20889173794503635,0.03465848693537042,0.7233675184052822,0.8997664187627114
153,1.0668133728296088,9,0.11853481920328986,0.2096568437732854,0.03441333460740673,0.7305994146574567,0.9039415076279051
154,1.0363587887554988,9,0.11515097652838875,0.2028968833311555,0.03343092866953222,0.734445311731111,0.9076999317582836
155,1.0704105172118805,9,0.11893450191243117,0.20812274824563867,0.03452937152296389,0.7128908942490738,0.8904731277044795
156,1.0455807831996937,9,0.11617564257774375,0.20960987240862863,0.03372841236128044,0.732128430906934,0.9044341137501353
157,1.117277754883266,10,0.1117277754883266,0.2073933610893019,0.036041217899460194,0.7262433856169296,0.9107954529603086
