t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
387,2441,6471,4030,2015,1.6509627201966408,10256.292342166602,8.520171103208659,228.05862707649865,10.7033881212536,0.0,0.0,1.0,150,10,0,140,0,7,500,0
388,2458,6516,4058,2029,1.6509357200976404,10327.615654699053,8.647109464482735,234.9047432588179,10.463815953225675,0.0,0.0,1.0,159,17,0,142,0,14,500,0
389,2473,6553,4080,2040,1.6498180347755762,10386.259267225736,8.647109464482735,234.9047432588179,10.527671624217696,0.0,0.0,1.0,169,15,0,154,0,11,500,0
390,2480,6568,4088,2044,1.6483870967741936,10410.033704736554,8.669334132859028,236.11379215460207,10.50341014546135,0.0,0.0,1.0,149,7,0,142,0,4,500,0
391,2492,6596,4104,2052,1.6468699839486356,10454.412654756747,8.669334132859028,236.11379215460207,10.554233097778098,0.0,0.0,1.0,151,12,0,139,0,8,500,0
392,2503,6621,4118,2059,1.6452257291250498,10494.036717274774,8.669334132859028,236.11379215460207,10.600820804068452,0.0,0.0,1.0,161,11,0,150,0,6,500,1
393,2519,6665,4146,2073,1.645891226677253,10563.775067306506,8.906430396192277,249.20527399647312,10.108132783881814,0.0,0.0,1.0,163,16,0,147,0,13,500,1
394,2533,6697,4164,2082,1.6439005132254243,10614.493867329582,8.906430396192277,249.20527399647312,10.164311370215417,0.0,0.0,1.0,192,14,0,178,0,8,500,1
395,2547,6737,4190,2095,1.6450726344719278,10677.892367358429,8.906430396192277,249.20527399647312,10.220489956549018,0.0,0.0,1.0,160,14,0,146,0,13,500,0
396,2556,6762,4206,2103,1.6455399061032865,10717.516429876458,8.906430396192277,249.20527399647312,10.256604762049193,0.0,0.0,1.0,153,9,0,144,0,6,500,2
397,2571,6805,4234,2117,1.64683002722676,10785.669817407466,8.906430396192277,249.20527399647312,10.31679610454948,0.0,0.0,1.0,171,15,0,156,0,12,500,2
398,2578,6824,4246,2123,1.647013188518231,10815.78410492117,8.906430396192277,249.20527399647312,10.344885397716283,0.0,0.0,1.0,162,7,0,155,0,6,500,0
399,2586,6842,4256,2128,1.645784996133024,10844.313429934151,8.906430396192277,249.20527399647312,10.37698744704977,0.0,0.0,1.0,163,8,0,155,0,4,500,1
400,2603,6887,4284,2142,1.6457933154053015,10915.636742466602,8.906430396192277,249.20527399647312,10.44520430188343,0.0,0.0,1.0,180,17,0,163,0,13,500,1
401,2622,6938,4316,2158,1.6460717009916095,10996.469830003382,8.906430396192277,249.20527399647312,10.521446669050462,0.0,0.0,1.0,188,19,0,169,0,16,500,0
402,2638,6976,4338,2169,1.6444275966641395,11056.698405030784,8.906430396192277,249.20527399647312,10.585650767717437,0.0,0.0,1.0,198,16,0,182,0,11,500,0
403,2653,7015,4362,2181,1.644176404070863,11118.511942558911,8.906430396192277,249.20527399647312,10.645842110217727,0.0,0.0,1.0,174,15,0,159,0,10,500,2
404,2669,7051,4382,2191,1.6418134132633946,11175.57059258487,8.906430396192277,249.20527399647312,10.7100462088847,0.0,0.0,1.0,164,16,0,148,0,10,500,0
405,2689,7097,4408,2204,1.639271104499814,11248.478867618043,8.906430396192277,249.20527399647312,10.79030133221842,0.0,0.0,1.0,191,20,0,171,0,13,500,0
406,2704,7140,4436,2218,1.6405325443786982,11316.632255149056,9.178946692156966,264.6888018074688,10.215770299065596,0.0,0.0,1.0,197,15,0,182,0,13,500,1
407,2714,7168,4454,2227,1.6411201179071482,11361.011205169247,9.178946692156966,264.6888018074688,10.25355051466865,0.0,0.0,1.0,177,10,0,167,0,9,500,0
408,2728,7204,4476,2238,1.6407624633431086,11418.069855195208,9.178946692156966,264.6888018074688,10.306442816512925,0.0,0.0,1.0,186,14,0,172,0,10,500,1
409,2745,7245,4500,2250,1.639344262295082,11483.053317724776,9.178946692156966,264.6888018074688,10.370669183038116,0.0,0.0,1.0,201,17,0,184,0,12,500,0
410,2758,7276,4518,2259,1.6381435823060189,11532.187155247131,9.427762908618439,279.2332796405862,9.877046187151999,0.0,0.0,1.0,180,13,0,167,0,9,500,0
411,2769,7303,4534,2267,1.6374142289635247,11574.981142766603,9.427762908618439,279.2332796405862,9.916439772379944,0.0,0.0,1.0,175,11,0,164,0,8,500,0
412,2788,7354,4566,2283,1.6377331420373027,11655.814230303382,9.427762908618439,279.2332796405862,9.984483237773667,0.0,0.0,1.0,177,19,0,158,0,15,500,1
413,2816,7426,4610,2305,1.6370738636363635,11769.931530355305,9.427762908618439,279.2332796405862,10.084757818353891,0.0,0.0,1.0,200,28,0,172,0,21,500,1
414,2833,7467,4634,2317,1.6357218496293682,11834.914992884873,9.427762908618439,279.2332796405862,10.145638813706169,0.0,0.0,1.0,174,17,0,157,0,12,500,0
415,2851,7505,4654,2327,1.6324096808137496,11895.143567912277,9.427762908618439,279.2332796405862,10.21010104407917,0.0,0.0,1.0,194,18,0,176,0,10,500,0
416,2868,7550,4682,2341,1.6324965132496514,11966.466880444728,9.589776898132316,288.9128643112667,9.92686845854706,0.0,0.0,1.0,205,17,0,188,0,13,500,1
417,2889,7599,4710,2355,1.6303219106957425,12044.130042980065,9.589776898132316,288.9128643112667,9.99955473387115,0.0,0.0,1.0,198,21,0,177,0,14,500,0
418,2911,7657,4746,2373,1.6303675712813466,12136.057868021893,9.589776898132316,288.9128643112667,10.07570226040115,0.0,0.0,1.0,184,22,0,162,0,16,500,2
419,2929,7701,4772,2386,1.6292249914646637,12205.796218053623,9.589776898132316,288.9128643112667,10.138004782107512,0.0,0.0,1.0,177,18,0,159,0,12,500,1
420,2951,7751,4800,2400,1.6265672653337853,12285.044343089681,9.589776898132316,288.9128643112667,10.214152308637509,0.0,0.0,1.0,188,22,0,166,0,14,500,0
