t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
1375,19,5,14,0,0,0,0.021064479819906733,0.016760670426817073,0.00430380939308966,0.020943562610229272,0.01701987482156583,0.003923687788663442,0.15043290043290045,4.504541587176347,0.0008044859271060978,1.0
1376,26,5,21,2,0,2,0.021047557840616963,0.016826538768984812,0.004221019071632151,0.020952801058667838,0.017131561607731167,0.0038212394509366705,0.15043290043290045,4.504791468060786,0.000851165073361128,1.0
1377,17,1,16,0,0,0,0.021044176706827306,0.016815785269212333,0.0042283914376149735,0.020952801058667838,0.017134384095776813,0.0038184169628910254,0.15043290043290045,4.505119947208406,0.0008984189214892537,1.0
1378,22,3,19,1,0,1,0.021034039820166984,0.016842945519856316,0.004191094300310668,0.020948180815876512,0.017189301993519687,0.003758878822356825,0.15043290043290045,4.505553495008802,0.000947660729152722,1.0
1379,18,3,15,0,0,0,0.021023912694591557,0.016832867969684882,0.004191044724906674,0.02098056537102473,0.017186470459037997,0.003794094911986734,0.15043290043290045,4.506076332822896,0.0009945267326468925,1.0
1380,23,2,21,0,0,0,0.021017166693406062,0.016818779642102745,0.004198387051303317,0.02098519991164126,0.017185526821501127,0.0037996730901401314,0.15043290043290045,4.506663670073136,0.0010386374448438543,1.0
1381,23,4,19,0,0,0,0.021003687670354335,0.01680605336519315,0.004197634305161183,0.020989836500220942,0.017186470459037997,0.003803366041182945,0.15043290043290045,4.507296522694976,0.0010806436849142647,1.0
1382,19,5,14,0,0,0,0.02098686318487664,0.016796688425409968,0.0041901747594666715,0.020994475138121544,0.017187414200208664,0.0038070609379128803,0.15043290043290045,4.508002277687481,0.0011242387040786863,1.0
1383,22,3,19,0,0,0,0.02097678142514011,0.016783995545479855,0.004192785879660255,0.02078726227333038,0.017184583287580983,0.003602678985749397,0.15043290043290045,4.508802455245679,0.0011685873477178762,1.0
1384,33,10,23,3,1,2,0.0211031175059952,0.016848128427243106,0.004254989078752096,0.020971302428256067,0.017285847555287275,0.003685454872968792,0.15043290043290045,4.509695530261831,0.0012122466425066533,1.0
1385,23,4,19,1,0,1,0.021089630931458696,0.01687512408179472,0.004214506849663978,0.020994475138121544,0.017338820301783266,0.0036556548363382776,0.15043290043290045,4.510672696562662,0.0012541505560633374,1.0
