t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
14628,20,6,14,0,0,0,0.017934181415929205,0.017834414264491887,9.976715143731815e-05,0.019797979797979794,0.017329874717147746,0.0024681050808320476,0.15043290043290045,6.461358547724619,0.0015797814981947603,1.0
14629,21,6,15,1,0,1,0.017932693637142935,0.01783719710957624,9.549652756669566e-05,0.019809985850010103,0.017386984600099353,0.0024230012499107494,0.15043290043290045,6.461934220804048,0.0015486754772795375,1.0
14630,21,4,17,0,0,0,0.017931701921747548,0.017836045146658257,9.565677508929088e-05,0.019817997977755304,0.01738794435857805,0.0024300536191772526,0.15043290043290045,6.462438669115555,0.0015157808135835894,1.0
14631,19,5,14,0,0,0,0.017930462431741203,0.017835096583031017,9.53658487101855e-05,0.019822006472491906,0.01734040203225094,0.002481604440240967,0.15043290043290045,6.462890463243014,0.0014835289712700653,1.0
14632,15,5,10,0,0,0,0.017929223113077136,0.01783441909935234,9.480401372479602e-05,0.019826016589115918,0.017343275338304334,0.0024827412508115834,0.15043290043290045,6.46327926683068,0.0014494652060835058,1.0
14633,24,9,15,0,0,0,0.017926992771150948,0.017833402970334637,9.358980081631066e-05,0.019834041691965187,0.017291862328048174,0.002542179363917013,0.15043290043290045,6.463598992249692,0.001413864966363286,1.0
14634,17,1,16,1,0,1,0.017926744989633724,0.01783611737806036,9.062761157336424e-05,0.01987023519870235,0.017238521465274326,0.002631713733428024,0.15043290043290045,6.463858147079276,0.0013777880482953493,1.0
14635,21,5,16,0,0,0,0.01792550618478336,0.017835033535635886,9.047264914747305e-05,0.01987023519870235,0.017238521465274326,0.002631713733428024,0.15043290043290045,6.464069808162164,0.001341848523412889,1.0
14636,16,3,13,0,0,0,0.01792476298405152,0.01783415301065264,9.060997339888077e-05,0.019683441558441556,0.017241379310344827,0.002442062248096729,0.15043290043290045,6.464214022085983,0.0013035137331199446,1.0
14637,18,4,14,0,0,0,0.017923772145601282,0.017833204850206397,9.056729539488537e-05,0.01969143321153065,0.017241379310344827,0.002450053901185821,0.15043290043290045,6.464305263912937,0.0012656018725087266,1.0
14638,27,6,21,0,0,0,0.017922286093300908,0.017831782798557055,9.050329474385305e-05,0.019484473310330826,0.01723661676150489,0.0022478565488259356,0.15043290043290045,6.464337199786249,0.0012261537355441558,1.0
14639,15,2,13,0,0,0,0.017921790797291694,0.017830902594517833,9.088820277386098e-05,0.019484473310330826,0.017239473975024865,0.002244999335305961,0.15043290043290045,6.464277384406697,0.0011831845434431725,1.0
14640,30,5,25,1,0,1,0.017920552677029362,0.017833006818837607,8.754585819175514e-05,0.019472616632860037,0.01723280861640431,0.0022398080164557285,0.15043290043290045,6.464128902986965,0.0011395334198122976,1.0
14641,25,6,19,0,0,0,0.01791906715850845,0.017831720493380967,8.73466651274829e-05,0.019460774376647068,0.017225197372053223,0.002235577004593845,0.15043290043290045,6.463908754080751,0.001096202446939309,1.0
14642,25,6,19,3,0,3,0.017917581886250294,0.0178418227509813,7.575913526899208e-05,0.019456830158086743,0.017333701352470327,0.0021231288056164158,0.15043290043290045,6.463624099226803,0.0010526968466816,1.0
14643,25,3,22,0,0,0,0.017916839342450613,0.017840332817102428,7.650652534818558e-05,0.019468667613060226,0.017327962033000386,0.00214070558005984,0.15043290043290045,6.463267243567137,0.0010080256690247161,1.0
14644,24,8,16,0,0,0,0.017914859526506257,0.017839249385115233,7.561014139102415e-05,0.01945288753799392,0.01721664275466284,0.002236244783331079,0.15043290043290045,6.462823588163377,0.0009614582471943649,1.0
14645,18,1,17,1,0,1,0.01791461208027735,0.01784189372288704,7.271835739031118e-05,0.019492385786802027,0.017217592848076817,0.00227479293872521,0.15043290043290045,6.462292511778205,0.0009139439888197103,1.0
14646,20,7,13,0,0,0,0.01791288014805403,0.017841013457611937,7.186669044209268e-05,0.019492385786802027,0.017229953611663355,0.0022624321751386726,0.15043290043290045,6.461679588894381,0.000866483251008154,1.0
14647,26,8,18,0,0,0,0.017910901206948934,0.01783979477215459,7.110643479434423e-05,0.019492385786802027,0.01723376049491825,0.0022586252918837778,0.15043290043290045,6.460994946367412,0.0008193580981247531,1.0
14648,29,7,22,0,0,0,0.017909169992129353,0.017838305493788276,7.086449834107708e-05,0.019492385786802027,0.01722900215362527,0.0022633836331767583,0.15043290043290045,6.460252711831424,0.0007729478231708627,1.0
14649,17,5,12,0,0,0,0.01790793361500014,0.017837493264932877,7.044035006726138e-05,0.019500304692260814,0.01722709955275799,0.002273205139502823,0.15043290043290045,6.459435063955478,0.0007243878544549125,1.0
14650,27,6,21,0,0,0,0.017906450187762313,0.01783607204240288,7.037814535943224e-05,0.019488428745432395,0.0172194933495226,0.0022689353959097942,0.15043290043290045,6.458515706810541,0.0006734641521299965,1.0
14651,22,5,17,0,0,0,0.017905214186120354,0.017834921694791794,7.029249132856075e-05,0.019496344435418356,0.0172213942705746,0.002274950164843758,0.15043290043290045,6.457486677908542,0.0006211403310442203,1.0
14652,21,4,17,1,1,0,0.01791802984497729,0.017833771495555782,8.425834942150934e-05,0.01969943135662063,0.017213793103448276,0.002485638253172353,0.15043290043290045,6.456367151656272,0.0005696486834252326,1.0
14653,24,6,18,0,0,0,0.01791654588871865,0.017832553799232983,8.399208948566689e-05,0.01929325751421608,0.017212843429328037,0.0020804140848880437,0.15043290043290045,6.4551607182242785,0.0005185109215959301,1.0
14654,25,3,22,1,0,1,0.017915804002760525,0.01783485876627687,8.094523648365451e-05,0.019301097114993903,0.017265155276077002,0.0020359418389169007,0.15043290043290045,6.453868676711411,0.00046699133403561404,1.0
14655,18,1,17,0,0,0,0.017915556721094256,0.01783370881975893,8.18479013353253e-05,0.019324654190398693,0.01726325078594672,0.0020614034044519718,0.15043290043290045,6.452471233767517,0.00041377676765295463,1.0
14656,18,2,16,1,0,1,0.017915062178239686,0.017836419214636256,7.864296360342998e-05,0.019332519332519327,0.01732700584924401,0.002005513483275316,0.15043290043290045,6.451012814972235,0.00036401761656516715,1.0
14657,23,5,18,0,0,0,0.01791382594054487,0.017835201674681066,7.862426586380256e-05,0.01933645430490535,0.017327962033000386,0.0020084922719049644,0.15043290043290045,6.449456058001263,0.0003109206570278502,1.0
14658,26,7,19,2,0,2,0.017912095494376595,0.017841500733757787,7.059476061880773e-05,0.019324654190398693,0.017439293598233995,0.0018853605921646983,0.15043290043290045,6.447835599746268,0.00026056784595366943,1.0
14659,23,2,21,0,0,0,0.01791160114258904,0.01784008008129465,7.152106129439117e-05,0.0193561532192339,0.017439293598233995,0.0019168596209999042,0.15043290043290045,6.446140137954295,0.00020913064176358796,1.0
14660,21,6,15,1,0,1,0.01791011825093483,0.017842856980363756,6.726127057107498e-05,0.0193758923108301,0.017496412407550503,0.0018794799032795968,0.15043290043290045,6.444329852341498,0.00015421168084605913,1.0
