t,total_subsystems,site_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
261,3272,1178,2094,1047,1.7775891341256367,5185.997302359623,5.91076705710795,109.75834782341637,10.732668843514423,0.0,0.0,1.0,87,8,0,79,0,6,500,2
262,3297,1189,2108,1054,1.7729184188393607,5225.621364877652,5.974984884773178,112.15625377294965,10.601281337436829,0.0,0.0,1.0,74,11,0,63,0,6,500,1
263,3315,1197,2118,1059,1.7694235588972431,5254.150689890632,5.974984884773178,112.15625377294965,10.672610396057093,0.0,0.0,1.0,108,8,0,100,0,5,500,0
264,3336,1206,2130,1065,1.7661691542288558,5287.4349024057765,5.974984884773178,112.15625377294965,10.752855587004891,0.0,0.0,1.0,76,9,0,67,0,5,500,1
265,3358,1214,2144,1072,1.7660626029654036,5322.304077421642,5.974984884773178,112.15625377294965,10.824184645625156,0.0,0.0,1.0,84,8,0,76,0,7,500,0
266,3383,1223,2160,1080,1.7661488143908421,5361.928139939671,6.106917984284891,117.16396155301501,10.438363331088032,0.0,0.0,1.0,95,9,0,86,0,7,500,1
267,3404,1232,2172,1086,1.7629870129870129,5395.212352454815,6.106917984284891,117.16396155301501,10.51517876034379,0.0,0.0,1.0,89,9,0,80,0,5,500,1
268,3450,1248,2202,1101,1.7644230769230769,5468.120627487989,6.106917984284891,117.16396155301501,10.651739523465139,0.0,0.0,1.0,83,16,0,67,0,14,500,1
269,3463,1255,2208,1104,1.7593625498007968,5488.725139997363,6.106917984284891,117.16396155301501,10.711484857330728,0.0,0.0,1.0,87,7,0,80,0,3,500,0
270,3491,1265,2226,1113,1.7596837944664032,5533.104090017556,6.106917984284891,117.16396155301501,10.796835334281571,0.0,0.0,1.0,92,10,0,82,0,7,500,2
271,3521,1279,2242,1121,1.7529319781078967,5580.65296503919,6.345910954708813,126.5137766467023,10.109570940812938,0.0,0.0,1.0,90,14,0,76,0,8,500,0
272,3550,1290,2260,1130,1.751937984496124,5626.616877560104,6.345910954708813,126.5137766467023,10.196517993470437,0.0,0.0,1.0,98,11,0,87,0,8,500,1
273,3579,1301,2278,1139,1.7509607993850884,5672.580790081018,6.551723810197372,134.85313132977097,9.647532742999669,0.0,0.0,1.0,83,11,0,72,0,8,500,1
274,3601,1309,2292,1146,1.7509549274255156,5707.449965096883,6.551723810197372,134.85313132977097,9.706856541573073,0.0,0.0,1.0,74,8,0,66,0,7,500,0
275,3623,1317,2306,1153,1.750949126803341,5742.319140112748,6.551723810197372,134.85313132977097,9.766180340146475,0.0,0.0,1.0,94,8,0,86,0,7,500,0
276,3665,1333,2332,1166,1.749437359339835,5808.887565143037,6.551723810197372,134.85313132977097,9.88482793729328,0.0,0.0,1.0,98,16,0,82,0,12,500,1
277,3706,1348,2358,1179,1.7492581602373887,5873.871027672604,6.551723810197372,134.85313132977097,9.996060059618411,0.0,0.0,1.0,111,15,0,96,0,12,500,1
278,3731,1357,2374,1187,1.7494473102431836,5913.495090190633,6.551723810197372,134.85313132977097,10.06279933301349,0.0,0.0,1.0,90,9,0,81,0,7,500,1
279,3754,1364,2390,1195,1.752199413489736,5949.94922770722,6.551723810197372,134.85313132977097,10.114707656765217,0.0,0.0,1.0,91,7,0,84,0,5,500,3
280,3770,1370,2400,1200,1.7518248175182483,5975.3086277187585,6.551723810197372,134.85313132977097,10.15920050569527,0.0,0.0,1.0,85,6,0,79,0,5,500,0
281,3807,1383,2424,1212,1.7527114967462039,6033.952240245441,7.042620737002265,155.81830473407405,8.875722286674117,0.0,0.0,1.0,101,13,0,88,0,11,500,1
282,3825,1391,2434,1217,1.7498202731847592,6062.481565258422,7.042620737002265,155.81830473407405,8.927064136488573,0.0,0.0,1.0,91,8,0,83,0,5,500,0
283,3845,1401,2444,1222,1.7444682369735902,6094.180815272845,7.042620737002265,155.81830473407405,8.991241448756643,0.0,0.0,1.0,101,10,0,91,0,5,500,0
284,3880,1416,2464,1232,1.7401129943502824,6149.654502798086,7.042620737002265,155.81830473407405,9.087507417158749,0.0,0.0,1.0,104,15,0,89,0,10,500,0
285,3889,1419,2470,1235,1.740662438336857,6163.919165304576,7.042620737002265,155.81830473407405,9.106760610839169,0.0,0.0,1.0,84,3,0,81,0,3,500,0
286,3915,1431,2484,1242,1.7358490566037736,6205.128190323327,7.042620737002265,155.81830473407405,9.183773385560853,0.0,0.0,1.0,96,12,0,84,0,7,500,0
287,3947,1445,2502,1251,1.7314878892733565,6255.846990346403,7.042620737002265,155.81830473407405,9.273621622736153,0.0,0.0,1.0,118,14,0,104,0,7,500,2
288,3971,1455,2516,1258,1.7292096219931272,6293.8860903637105,7.042620737002265,155.81830473407405,9.337798935004223,0.0,0.0,1.0,97,10,0,87,0,6,500,1
289,3987,1461,2526,1263,1.728952772073922,6319.24549037525,7.042620737002265,155.81830473407405,9.376305322365065,0.0,0.0,1.0,110,6,0,104,0,5,500,0
290,4008,1468,2540,1270,1.7302452316076293,6352.529702890393,7.042620737002265,155.81830473407405,9.421229440952713,0.0,0.0,1.0,97,7,0,90,0,6,500,1
291,4035,1477,2558,1279,1.7318889641164523,6395.323690409865,7.042620737002265,155.81830473407405,9.478989021993977,0.0,0.0,1.0,97,9,0,88,0,8,500,1
292,4066,1488,2578,1289,1.73252688172043,6444.457527932221,7.042620737002265,155.81830473407405,9.549584065488855,0.0,0.0,1.0,107,11,0,96,0,9,500,1
293,4089,1497,2592,1296,1.7314629258517034,6480.911665448808,7.042620737002265,155.81830473407405,9.607343646530117,0.0,0.0,1.0,90,9,0,81,0,6,500,1
294,4127,1513,2614,1307,1.7276933245208195,6541.14024047621,7.042620737002265,155.81830473407405,9.71002734615903,0.0,0.0,1.0,108,16,0,92,0,11,500,0
295,4167,1527,2640,1320,1.7288801571709234,6604.538740505057,7.1873554921515295,162.28864139247503,9.409161275231451,0.0,0.0,1.0,112,14,0,98,0,12,500,1
296,4201,1539,2662,1331,1.7296946068875894,6658.427465529576,7.1873554921515295,162.28864139247503,9.483103603524036,0.0,0.0,1.0,94,12,0,82,0,10,500,1
297,4230,1550,2680,1340,1.729032258064516,6704.39137805049,7.1873554921515295,162.28864139247503,9.550884071125573,0.0,0.0,1.0,111,11,0,100,0,8,500,1
298,4257,1563,2694,1347,1.723608445297505,6747.1853655699615,7.1873554921515295,162.28864139247503,9.630988260109206,0.0,0.0,1.0,124,13,0,111,0,7,500,0
299,4279,1571,2708,1354,1.723742838956079,6782.0545405858265,7.1873554921515295,162.28864139247503,9.680283145637596,0.0,0.0,1.0,102,8,0,94,0,7,500,0
300,4309,1581,2728,1364,1.7254901960784315,6829.603415607462,7.1873554921515295,162.28864139247503,9.741901752548085,0.0,0.0,1.0,88,10,0,78,0,9,500,1
301,4347,1597,2750,1375,1.7219787100814026,6889.831990634865,7.279516043920103,166.47724790769843,9.592902454066516,0.0,0.0,1.0,97,16,0,81,0,11,500,0
302,4371,1605,2766,1383,1.7233644859813084,6927.871090652174,7.279516043920103,166.47724790769843,9.64095706873936,0.0,0.0,1.0,108,8,0,100,0,5,500,3
303,4403,1621,2782,1391,1.716224552745219,6978.58989067525,7.512970966167103,177.32635770501616,9.141337029526918,0.0,0.0,1.0,118,16,0,102,0,7,500,1
304,4441,1635,2806,1403,1.7162079510703363,7038.818465702654,7.512970966167103,177.32635770501616,9.220287503563547,0.0,0.0,1.0,116,14,0,102,0,12,500,0
305,4467,1647,2820,1410,1.7122040072859745,7080.027490721404,7.512970966167103,177.32635770501616,9.287959338452087,0.0,0.0,1.0,115,12,0,103,0,7,500,0
306,4483,1653,2830,1415,1.7120387174833636,7105.386890732942,7.512970966167103,177.32635770501616,9.321795255896356,0.0,0.0,1.0,109,6,0,103,0,5,500,0
307,4501,1661,2840,1420,1.7098133654425045,7133.916215745923,7.853941069142309,193.78722746281258,8.571256329670865,0.0,0.0,1.0,116,8,0,108,0,4,500,1
308,4532,1674,2858,1429,1.7072879330943846,7183.05005326828,7.853941069142309,193.78722746281258,8.638340214249867,0.0,0.0,1.0,126,13,0,113,0,9,500,0
309,4566,1688,2878,1439,1.7049763033175356,7236.938778292799,7.853941069142309,193.78722746281258,8.710584397642638,0.0,0.0,1.0,117,14,0,103,0,10,500,0
310,4594,1700,2894,1447,1.7023529411764706,7281.317728312992,7.853941069142309,193.78722746281258,8.77250798340787,0.0,0.0,1.0,131,12,0,119,0,7,500,1
311,4621,1709,2912,1456,1.7039204212990053,7324.111715832462,7.853941069142309,193.78722746281258,8.818950672731793,0.0,0.0,1.0,121,9,0,112,0,8,500,1
312,4641,1717,2924,1462,1.702970297029703,7355.810965846886,7.853941069142309,193.78722746281258,8.860233063241948,0.0,0.0,1.0,119,8,0,111,0,5,500,1
313,4696,1738,2958,1479,1.7019562715765248,7442.983903386548,7.853941069142309,193.78722746281258,8.968599338331103,0.0,0.0,1.0,122,21,0,101,0,15,500,2
314,4719,1747,2972,1486,1.7012020606754437,7479.4380409031355,7.853941069142309,193.78722746281258,9.015042027655028,0.0,0.0,1.0,115,9,0,106,0,6,500,1
315,4740,1754,2986,1493,1.702394526795895,7512.72225341828,7.853941069142309,193.78722746281258,9.051164119351412,0.0,0.0,1.0,116,7,0,109,0,6,500,1
316,4776,1768,3008,1504,1.7013574660633484,7569.780903444242,7.853941069142309,193.78722746281258,9.123408302744183,0.0,0.0,1.0,137,14,0,123,0,10,500,1
317,4795,1779,3016,1508,1.6953344575604272,7599.895190957943,7.853941069142309,193.78722746281258,9.180171589695647,0.0,0.0,1.0,134,11,0,123,0,4,500,0
318,4824,1788,3036,1518,1.6979865771812082,7645.859103478857,7.853941069142309,193.78722746281258,9.22661427901957,0.0,0.0,1.0,128,9,0,119,0,7,500,3
319,4852,1798,3054,1527,1.6985539488320356,7690.23805349905,7.853941069142309,193.78722746281258,9.278217267157263,0.0,0.0,1.0,131,10,0,121,0,9,500,0
320,4882,1812,3070,1535,1.6942604856512142,7737.786928520683,7.853941069142309,193.78722746281258,9.350461450550034,0.0,0.0,1.0,102,14,0,88,0,8,500,0
321,4909,1823,3086,1543,1.6928140427866154,7780.580916040155,7.853941069142309,193.78722746281258,9.407224737501497,0.0,0.0,1.0,124,11,0,113,0,8,500,0
322,4931,1833,3098,1549,1.69012547735952,7815.450091056021,7.853941069142309,193.78722746281258,9.45882772563919,0.0,0.0,1.0,120,10,0,110,0,5,500,1
323,4955,1843,3112,1556,1.6885512750949538,7853.489191073329,7.853941069142309,193.78722746281258,9.510430713776884,0.0,0.0,1.0,118,10,0,108,0,7,500,0
324,4984,1854,3130,1565,1.6882416396979503,7899.453103594242,7.853941069142309,193.78722746281258,9.567194000728346,0.0,0.0,1.0,113,11,0,102,0,7,500,2
325,5028,1870,3158,1579,1.6887700534759358,7969.191453625973,7.853941069142309,193.78722746281258,9.649758781748655,0.0,0.0,1.0,119,16,0,103,0,12,500,2
326,5057,1881,3176,1588,1.6884635832004253,8015.155366146886,7.853941069142309,193.78722746281258,9.706522068700119,0.0,0.0,1.0,135,11,0,124,0,8,500,1
327,5074,1890,3184,1592,1.6846560846560847,8042.099728659146,7.853941069142309,193.78722746281258,9.752964758024042,0.0,0.0,1.0,132,9,0,123,0,4,500,0
328,5094,1898,3196,1598,1.683877766069547,8073.798978673569,7.853941069142309,193.78722746281258,9.794247148534197,0.0,0.0,1.0,142,8,0,134,0,3,500,3
329,5130,1910,3220,1610,1.6858638743455496,8130.85762869953,7.853941069142309,193.78722746281258,9.856170734299429,0.0,0.0,1.0,146,12,0,134,0,11,500,1
330,5163,1921,3242,1621,1.6876626756897448,8183.161391223328,7.853941069142309,193.78722746281258,9.912934021250893,0.0,0.0,1.0,137,11,0,126,0,10,500,1
331,5194,1930,3264,1632,1.6911917098445597,8232.295228745685,7.853941069142309,193.78722746281258,9.959376710574816,0.0,0.0,1.0,129,9,0,120,0,8,500,3
332,5224,1942,3282,1641,1.690010298661174,8279.844103767318,7.962149049238109,199.16383447066065,9.750766273211521,0.0,0.0,1.0,134,12,0,122,0,9,500,0
333,5248,1952,3296,1648,1.6885245901639345,8317.883203784628,7.962149049238109,199.16383447066065,9.800976192229088,0.0,0.0,1.0,117,10,0,107,0,7,500,0
334,5277,1965,3312,1656,1.6854961832061068,8363.84711630554,7.962149049238109,199.16383447066065,9.866249086951925,0.0,0.0,1.0,121,13,0,108,0,8,500,0
335,5314,1978,3336,1668,1.686552072800809,8422.490728832223,7.962149049238109,199.16383447066065,9.931521981674763,0.0,0.0,1.0,134,13,0,121,0,11,500,1
336,5342,1988,3354,1677,1.687122736418511,8466.869678852416,7.962149049238109,199.16383447066065,9.98173190069233,0.0,0.0,1.0,133,10,0,123,0,9,500,0
337,5368,2002,3366,1683,1.6813186813186813,8508.078703871166,7.962149049238109,199.16383447066065,10.052025787316923,0.0,0.0,1.0,135,14,0,121,0,6,500,0
338,5403,2015,3388,1694,1.6813895781637718,8563.552391396406,7.962149049238109,199.16383447066065,10.117298682039761,0.0,0.0,1.0,117,13,0,104,0,11,500,0
339,5429,2025,3404,1702,1.6809876543209876,8604.761416415156,8.445349759460479,224.07074255443342,9.037324449032285,0.0,0.0,1.0,124,10,0,114,0,8,500,0
