t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
349,6.432291666666667,0.038866396761133605,363,0,0.01760005269280488,4.8484993644090584e-05,0.6446345561623135,0.15877109889359464,0.13147314753819855,0.018897787546432687,1.802682606978427
350,6.432291666666667,0.038866396761133605,362,1,0.10426997132689463,0.00028803859482567576,0.9395397318540951,0.8562154183445798,0.1322935128683223,0.018862100376378397,1.9215853348347882
351,6.432291666666667,0.038866396761133605,362,1,0.08194892584142571,0.000226378248180734,0.9149737567309918,0.553805538490235,0.1328048631494334,0.018834196098918083,1.9215853348347882
352,6.432291666666667,0.038866396761133605,363,1,0.07833740765109365,0.00021580553071926626,0.8773210764340641,0.4313465785518558,0.13318617953324519,0.01880758916269871,1.9215853348347882
353,6.432291666666667,0.038866396761133605,363,1,0.07515898840501324,0.0002070495548347472,0.850241487112674,0.3594642340929488,0.13350891815305488,0.01878214848127046,1.9215853348347882
354,6.432291666666667,0.03967611336032389,363,1,0.07173967953810238,0.00019762997117934541,0.8188226934181803,0.3124582923361973,0.13378645409090592,0.0187579846763387,1.9215853348347882
355,6.385416666666667,0.04241435562805873,363,1,0.0704968882642128,0.00019420630375816198,0.7943011564453082,0.28761959167183926,0.13448036167548394,0.018849343135187442,1.9215853348347882
356,6.385416666666667,0.0432300163132137,364,1,0.06509569177717746,0.00017883431806916885,0.765161577013793,0.2617139633625972,0.13464646107386968,0.018827399155444482,1.9215853348347882
357,6.385416666666667,0.0432300163132137,364,0,0.06052446776593548,0.0001662760103459766,0.7414567145125682,0.24296499713201303,0.13479597537291854,0.018807128818591798,1.9215853348347882
358,6.385416666666667,0.0432300163132137,364,0,0.05633762541428543,0.00015477369619309184,0.7219666580762092,0.22905092441593766,0.13493023874102944,0.018788378859081308,1.9215853348347882
359,6.385416666666667,0.0432300163132137,364,0,0.052441417245787256,0.00014406982759831662,0.7060630048370841,0.21843461153738458,0.13505054238466582,0.018771028824966687,1.9215853348347882
360,6.385416666666667,0.0432300163132137,364,0,0.04881865534644108,0.0001341171850176953,0.692636164203152,0.21096658178963495,0.13515833348599557,0.018754966506773312,1.9231634716207995
361,6.333333333333333,0.04358552631578947,364,0,0.04560185403730886,0.00012527981878381555,0.6818118162789791,0.20426607324318669,0.13454390815462342,0.018847219390743374,1.9231634716207995
362,6.333333333333333,0.04358552631578947,364,0,0.04222693015157421,0.00011600804986696211,0.6693062873570707,0.20038868812256522,0.1346329978035927,0.018833309755780066,1.9231634716207995
363,6.333333333333333,0.04358552631578947,364,0,0.03928019996255436,0.00010791263725976471,0.6607388834575472,0.1965853675124449,0.1347163010159209,0.01883551074478221,1.9231634716207995
364,6.333333333333333,0.04358552631578947,364,0,0.03659432400498444,0.00010053385715655066,0.6535191027150099,0.19332154155216774,0.13479327499967428,0.018841995093161215,1.9231634716207995
365,6.333333333333333,0.04358552631578947,364,0,0.03412134642889442,9.37399627167429e-05,0.6474157916906996,0.1906052364962558,0.13486441310280384,0.01884782499074358,1.9231634716207995
366,6.333333333333333,0.04358552631578947,364,0,0.03184065886058393,8.747433752907673e-05,0.6421586155706578,0.18835356142704482,0.13493042778532968,0.018853423896641075,1.9231634716207995
367,6.291666666666667,0.043874172185430466,365,0,0.04047085408006373,0.0001108790522741472,0.7343813961111227,0.384996911290543,0.13606674629025312,0.018988395838847302,1.9231634716207995
368,6.291666666666667,0.043874172185430466,365,0,0.03436309853562319,9.414547544006354e-05,0.6979100077474444,0.28055775202877214,0.1360223115098266,0.019009970558854984,1.9231634716207995
369,6.291666666666667,0.043874172185430466,365,0,0.031106891069102825,8.52243590934324e-05,0.6781456811873176,0.24142085433830687,0.13601662056999483,0.019029452248031077,1.9231634716207995
370,6.291666666666667,0.043874172185430466,365,0,0.028720168057341556,7.868539193792207e-05,0.6617313428589574,0.2182830931722568,0.1360273018149547,0.019051141293115137,2.041870905196191
