t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
11357,23,4,19,1,0,1,0.01825147347740668,0.01827982188891493,-2.8348411508248572e-05,0.01768524736959928,0.019186110803936746,-0.0015008634343374669,0.15043290043290045,6.429184818566225,0.0018495742710680678,1.1976696664248028
11358,24,5,19,0,0,0,0.018249680777919653,0.018278126296775454,-2.8445518855800545e-05,0.017689207344379756,0.01918717168924523,-0.001497964344865474,0.15043290043290045,6.430238473176307,0.0018558949771471875,1.1984938386598134
11359,27,3,24,1,0,1,0.018248605327257014,0.01828086635197868,-3.2261024721664394e-05,0.01768524736959928,0.019235021003758568,-0.0015497736341592884,0.15043290043290045,6.43132221165604,0.0018632416400891857,1.199139379837961
11360,25,2,23,1,0,1,0.01824788843056374,0.018283695004929667,-3.5806574365925686e-05,0.01770109791619986,0.019280702723606432,-0.0015796048074065705,0.15043290043290045,6.43239666967378,0.0018659219845801748,1.1996057090157604
11361,23,7,16,0,0,0,0.01824537973564821,0.01828226727444875,-3.6887538800538244e-05,0.017697132616487452,0.01922333314920179,-0.0015262005327143363,0.15043290043290045,6.433480876877792,0.0018692164860215008,1.199892406528426
11362,19,4,15,0,0,0,0.018243946505371065,0.01828092897961574,-3.6982474244676156e-05,0.01771300448430493,0.019218025182239893,-0.0015050206979349626,0.15043290043290045,6.434573194027838,0.001870732656754704,1.199999214367549
11363,10,3,7,1,1,0,0.018262508836697826,0.018280304509076712,-1.7795672378886213e-05,0.017709033848912797,0.019169152579825433,-0.0014601187309126358,0.15043290043290045,6.4356591550278095,0.0018697253468520345,1.1999260364132833
11364,26,7,19,1,0,1,0.01825999882193556,0.01828348923338164,-2.3490411446079607e-05,0.017697132616487452,0.019221209610604806,-0.0015240769941173536,0.15043290043290045,6.436726246453864,0.0018662616761220298,1.1996729385208487
11365,21,4,17,1,0,1,0.01825856483753804,0.018286851812096255,-2.8286974558214273e-05,0.017709033848912797,0.019273249392533685,-0.0015642155436208886,0.15043290043290045,6.43780764779356,0.0018642318833188964,1.1992401484612634
11366,25,5,20,2,1,1,0.018276403612092658,0.018289946140035908,-1.3542527943249949e-05,0.017720951099147595,0.019338084977070555,-0.0016171338779229598,0.15043290043290045,6.438879897388103,0.001859009237153415,1.1986280557163704
