t,rfront,global_diff
160,5.0,6.249999999996404e-10
161,5.0,6.249999999999131e-10
162,5.0,6.249999999998858e-10
163,5.0,6.250000000000204e-10
164,5.0,6.250000000003187e-10
165,5.0,6.25000000000184e-10
166,5.0,6.250000000002639e-10
167,5.0,6.250000000001449e-10
168,5.0,6.250000000001724e-10
169,5.0,6.250000000004143e-10
170,5.0,6.250000000003122e-10
171,5.0,6.250000000004552e-10
172,5.0,6.250000000005674e-10
173,5.0,6.250000000007452e-10
174,5.0,6.250000000006769e-10
175,5.0,6.250000000007669e-10
176,5.0,6.250000000007834e-10
177,5.0,6.250000000006836e-10
178,5.0,6.250000000007726e-10
179,5.0,6.250000000006428e-10
180,5.0,6.250000000003707e-10
181,5.0,6.250000000004305e-10
182,5.0,6.250000000004817e-10
183,5.0,6.250000000003399e-10
184,5.0,6.250000000004959e-10
185,5.0,6.250000000005618e-10
186,5.0,6.250000000005928e-10
187,5.0,6.25000000000638e-10
188,5.0,6.250000000006367e-10
189,5.0,6.250000000005636e-10
190,5.0,6.250000000005102e-10
191,5.0,6.250000000003956e-10
192,5.0,6.25000000000152e-10
193,5.0,6.250000000002251e-10
194,5.0,6.250000000001511e-10
195,5.0,6.250000000002763e-10
196,5.0,6.25000000000522e-10
197,5.0,6.250000000004827e-10
198,5.0,6.250000000002732e-10
199,5.0,6.250000000001859e-10
200,5.0,6.250000000005261e-10
201,5.0,6.250000000004774e-10
202,5.0,6.250000000004057e-10
203,5.0,6.25000000000408e-10
204,5.0,6.250000000003311e-10
205,5.0,6.250000000004747e-10
206,5.0,6.250000000004252e-10
207,5.0,6.250000000006103e-10
208,5.0,6.250000000006346e-10
209,5.0,6.250000000005461e-10
210,5.0,6.250000000005299e-10
211,5.0,6.250000000006694e-10
212,5.0,6.25000000000529e-10
213,5.0,6.250000000006147e-10
214,5.0,6.250000000006308e-10
215,5.0,6.250000000006658e-10
216,5.0,6.250000000007705e-10
217,5.0,6.250000000005792e-10
218,5.0,6.250000000006694e-10
219,5.0,6.250000000006866e-10
220,5.0,6.250000000008497e-10
221,5.0,6.250000000010983e-10
222,5.0,6.250000000011981e-10
223,5.0,6.250000000010438e-10
224,5.0,6.25000000000939e-10
225,5.0,6.250000000011327e-10
226,5.0,6.250000000011761e-10
227,5.0,6.250000000012053e-10
228,5.0,6.250000000010479e-10
