status,seed,pair_scale,perturb_eps,elapsed_sec,winner_candidate,winner_count,strict_episode_count,strongest_episode_length,winner_mi_activation,winner_ccorr_activation,stderr_tail
ok,7,0.25,0.01,13.527409999998781,6,216,0,0,False,True,
ok,7,0.25,0.02,13.198607099999208,6,213,0,0,False,True,
ok,7,0.25,0.05,13.434747600000264,4,141,0,0,False,True,
ok,7,0.5,0.01,12.567695900001127,6,216,0,0,False,True,
ok,7,0.5,0.02,13.334382400000322,6,213,0,0,False,True,
ok,7,0.5,0.05,13.51603470000191,4,141,0,0,False,True,
ok,7,1.0,0.01,12.670289699999557,6,216,0,0,False,True,
ok,7,1.0,0.02,13.451807900000858,6,213,0,0,False,True,
ok,7,1.0,0.05,13.317196699998021,4,141,0,0,False,True,
ok,8,0.12,0.01,12.833730000002106,7,266,0,0,False,True,
ok,8,0.12,0.02,13.602087399998709,7,189,0,0,False,True,
ok,8,0.12,0.05,13.704123399998934,7,152,0,0,False,True,
ok,8,0.25,0.01,12.735419199998432,7,266,0,0,False,True,
ok,8,0.25,0.02,13.35665180000069,7,189,0,0,False,True,
ok,8,0.25,0.05,13.896127500000148,7,152,0,0,False,True,
ok,8,0.5,0.01,12.45845179999742,7,266,0,0,False,True,
ok,8,0.5,0.02,13.4333020999984,7,189,0,0,False,True,
ok,8,0.5,0.05,13.593498600002931,7,152,0,0,False,True,
ok,8,1.0,0.01,13.13689929999964,7,266,0,0,False,True,
ok,8,1.0,0.02,13.196842699999252,7,189,0,0,False,True,
ok,8,1.0,0.05,13.576490299998113,7,152,0,0,False,True,
