t,S,L_flow,P,gini_flow,top10_flow,gini_mem,top10_mem,norm
115,427,0.8279171919625481,0.001938916140427513,0.4122031564087848,0.017759836092792792,0.6033353665158762,0.04638236231129703,0.9999999999999999
116,432,0.823490706252834,0.001906228486696375,0.4100607667075548,0.017667751449388452,0.6012641772240322,0.04603136944896261,1.0000000000000002
117,437,0.8190443073188785,0.0018742432661759231,0.4079509995706336,0.017577165995899813,0.5992154660637256,0.045694318025674266,1.0000000000000002
118,441,0.8145790397111423,0.0018471180038801412,0.40587382205388733,0.017488047245302108,0.5971888383439594,0.04536369063479801,1.0000000000000002
119,446,0.8100959376662515,0.001816358604632851,0.40382844384769356,0.01740036337220337,0.5951840962743757,0.0450393227804889,0.9999999999999999
120,450,0.8055960246665066,0.0017902133881477925,0.4018142028008836,0.017314083216911136,0.5932008761907842,0.04472105537307977,0.9999999999999999
121,454,0.8010803130286763,0.001764494081560961,0.39983073111435175,0.01722917628721714,0.5912391435762913,0.044408734508951206,0.9999999999999998
122,459,0.7965498035207874,0.0017354026220496458,0.3978776550031367,0.017145612758161,0.5892985292099223,0.04410221126118059,0.9999999999999999
123,463,0.7920054850057024,0.0017105950000123164,0.39595411895325944,0.017063978468514665,0.5873787616658488,0.04380134148035211,1.0000000000000002
124,467,0.7874483341103409,0.0016861848696152909,0.3940596195558068,0.016986245052378855,0.5854797816726397,0.04350598560495076,1.0000000000000002
125,471,0.7828793149194772,0.0016621641505721384,0.39219352944820346,0.0169096550817224,0.5836013626281483,0.043216008480800844,0.9999999999999999
126,475,0.7782993786931015,0.0016385250077749504,0.3903552899670925,0.016834185418932876,0.5817432287322573,0.042931279189043804,1.0000000000000002
127,479,0.7737094636063822,0.0016152598405143677,0.38854462344654156,0.01675981341537264,0.5799052889836741,0.042651670882183,0.9999999999999999
128,483,0.7691104945113265,0.0015923612722801791,0.3867610360958477,0.016686516909809518,0.5780871446844597,0.04237706062775273,1.0000000000000002
129,486,0.7645033827192756,0.0015730522278174395,0.38500408767483835,0.016614274225753015,0.5762884839376708,0.0421073292591965,0.9999999999999999
130,490,0.7598890258034101,0.001550793930211041,0.38327315203761103,0.016545022798933846,0.5745092451144929,0.04184236123356569,1.0
131,494,0.7552683074204893,0.0015288832134018003,0.3815677686534106,0.01647685123143856,0.5727491929479568,0.04158204449567342,0.9999999999999999
132,497,0.7506420971510677,0.0015103462719337378,0.3798872650416452,0.016409598504328923,0.5710082711468887,0.041326270348361005,1.0000000000000002
133,501,0.7460112503574782,0.001489044411891174,0.37823133507962275,0.016343247364943518,0.5692863061593524,0.041074933328555295,1.0000000000000002
134,504,0.7413766080588923,0.001470985333450183,0.37660001166167634,0.016277780927166304,0.5675829487681425,0.04082793108881416,1.0
135,507,0.7367389968227938,0.0014531341160212894,0.3749926973044891,0.016213182668304377,0.5658979545211862,0.040585164284076054,1.0000000000000002
136,511,0.7320992286722316,0.0014326795081648369,0.373408699323726,0.016149436425396468,0.5642310849707778,0.04034653646334588,1.0
137,514,0.7274581010082363,0.001415288134257269,0.37184785420216643,0.0160865263910258,0.5625821691309334,0.04011195396606559,1.0
138,517,0.7228163965468064,0.0013980974788139389,0.3703101386853616,0.016024437108703642,0.5609509045500596,0.039881325822932176,0.9999999999999996
139,520,0.7181748832698912,0.0013811055447497907,0.36879483225965326,0.015963153467883903,0.5593372813965326,0.03965456366094008,1.0
