t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
15220,15,3,12,0,0,0,0.018405627198124268,0.017540587295143423,0.0008650399029808443,0.019322573312116387,0.01623033739091768,0.0030922359211987063,0.15081967213114755,6.583712334248973,0.0017241964603586734
15221,27,7,20,0,0,0,0.0184037393585066,0.01753930435227817,0.0008644350062284312,0.019313792319927286,0.016173855046687415,0.0031399372732398706,0.15081967213114755,6.584549119952792,0.0017488023650411128
15222,21,5,16,0,0,0,0.01840239113872121,0.01753827813310222,0.0008641130056189876,0.019318181818181814,0.016177451634422947,0.003140730183758867,0.15081967213114755,6.585418092771873,0.0017721923105206662
15223,11,2,9,0,0,0,0.01840185190611539,0.017537700937586848,0.0008641509685285431,0.01909959072305593,0.016190052297763435,0.0029095384252924954,0.15081967213114755,6.5863487039100885,0.0017970254356973856
15224,23,4,19,1,0,1,0.018400773535702776,0.017540139019404943,0.0008606345162978334,0.019090909090909085,0.016240266963292546,0.0028506421276165393,0.15081967213114755,6.58730565631494,0.0018176829916717752
15225,24,2,22,1,0,1,0.01840023439789042,0.017542384345670528,0.0008578500522198919,0.019108280254777066,0.016293165767669465,0.0028151144871076013,0.15081967213114755,6.588309940980002,0.0018385732000193956
15226,20,4,16,0,0,0,0.01839915621703973,0.017541358193949363,0.0008577980230903663,0.01909959072305593,0.01629225978647687,0.002807330936579061,0.15081967213114755,6.589339042997169,0.001856235422062458
15227,17,5,12,0,0,0,0.01839780866864902,0.017540588658938278,0.0008572200097107414,0.01909959072305593,0.01629044812632047,0.0028091425967354602,0.15081967213114755,6.5903937947268085,0.0018726013390945905
15228,20,4,16,0,0,0,0.018396730772047516,0.01753956271727965,0.0008571680547678658,0.019103934500795994,0.016233946739311726,0.002869987761484269,0.15081967213114755,6.59146032957255,0.0018862651524456456
15229,27,5,22,0,0,0,0.018395383578898035,0.017538152243443298,0.0008572313354547369,0.01909959072305593,0.016173855046687415,0.0029257356763685155,0.15081967213114755,6.592541601415058,0.001898732611525758
15230,28,4,24,1,0,1,0.018394305966433322,0.017540268787532117,0.0008540371789012048,0.019108280254777066,0.016170260057790622,0.002938020196986444,0.15081967213114755,6.593629286863186,0.0019093166118140362
15231,16,1,15,0,0,0,0.018394036583044095,0.017539307199193024,0.000854729383851071,0.019121329387662186,0.016171158655181993,0.002950170732480193,0.15081967213114755,6.594733566819057,0.0019197209824977203
15232,27,11,16,1,1,0,0.018405716461182536,0.01753828162116727,0.0008674348400152659,0.019340159271899884,0.016170260057790622,0.003169899214109262,0.15081967213114755,6.595858334900539,0.0019288924484254747
15233,19,5,14,0,0,0,0.018404369024436668,0.017537384338775927,0.0008669846856607412,0.019340159271899884,0.01617205735245082,0.003168101919449065,0.15081967213114755,6.597012086947562,0.0019374954857000924
15234,27,6,21,0,0,0,0.01840275236073494,0.01753603858732392,0.0008667137734110208,0.019326966803092312,0.01611111111111111,0.0032158556919812016,0.15081967213114755,6.598159183550991,0.0019415925122998289
15235,14,3,11,0,0,0,0.018401944135386778,0.017535333752320262,0.0008666103830665163,0.019322573312116387,0.016120066703724293,0.0032025066083920944,0.15081967213114755,6.599308965394084,0.0019451218330116052
15236,23,5,18,0,0,0,0.01840059725088929,0.017534180508158748,0.0008664167427305421,0.019313792319927286,0.01611469215381196,0.003199100166115326,0.15081967213114755,6.6004512021316435,0.0019461867599915687
15237,12,1,11,0,0,0,0.01840032789764909,0.017533475822509637,0.000866852075139455,0.019340159271899884,0.01611827478879502,0.003221884483104863,0.15081967213114755,6.601612637881164,0.001948307020924637
15238,24,6,18,1,0,1,0.018398711943793913,0.017535976151072434,0.0008627357927214786,0.019326966803092312,0.01617205735245082,0.0031549094506414938,0.15081967213114755,6.6027769279578274,0.001947629155204883
15239,27,4,23,1,0,1,0.018397634798899363,0.01753815580866935,0.0008594789902300129,0.019331362292472135,0.01622763143269979,0.003103730859772346,0.15081967213114755,6.603944996355522,0.0019454251156834084
15240,31,5,26,1,0,1,0.018396288545127253,0.01754014289262598,0.0008561456525012709,0.019326966803092312,0.01623033739091768,0.0030966294121746313,0.15081967213114755,6.605115360834507,0.0019418418195580763
15241,20,6,14,0,0,0,0.018394673300651202,0.017539245980437275,0.0008554273202139272,0.019313792319927286,0.016237557693377078,0.003076234626550208,0.15081967213114755,6.606266113468944,0.0019348055224810816
15242,20,2,18,2,0,2,0.018394134948856403,0.01754539743758309,0.0008487375112733141,0.018867924528301883,0.016301324134861468,0.0025666003934404144,0.15081967213114755,6.607394926073146,0.0019262781142738675
15243,20,5,15,1,0,1,0.0183927892072225,0.017548088335725423,0.0008447008714970762,0.018880800727934483,0.01635878032494992,0.002522020402984562,0.15081967213114755,6.608499432363525,0.0019160495680477442
15244,20,4,16,0,0,0,0.01839171275568431,0.017547063012397977,0.0008446497432863347,0.01887221464301955,0.016355140186915886,0.002517074456103663,0.15081967213114755,6.609576012874626,0.0019042252283200294
15245,16,4,12,0,0,0,0.01839063643013899,0.01754629409852947,0.000844342331609519,0.01887650670911985,0.016361511492014025,0.0025149952171058254,0.15081967213114755,6.610628821119242,0.0018912662111151902
15246,26,3,23,0,0,0,0.018389829268649512,0.017544820535290467,0.0008450087333590449,0.01887650670911985,0.01635332072533096,0.0025231859837888913,0.15081967213114755,6.6116395049024135,0.0018756315317867316
15247,26,9,17,1,0,1,0.01838740820923905,0.01754738267971828,0.0008400255295207722,0.018619436875567663,0.016355140186915886,0.002264296688651777,0.15081967213114755,6.612633288674453,0.0018605829252904668
15248,18,1,17,0,0,0,0.018387139241987625,0.017546293591915417,0.0008408456500722077,0.018640600136394632,0.016303138215001112,0.0023374619213935195,0.15081967213114755,6.613602631201216,0.0018435923811703347
15249,14,4,10,1,0,1,0.018386063451665276,0.01754930379608198,0.0008367596555832954,0.018640600136394632,0.016370621972270172,0.0022699781641244594,0.15081967213114755,6.614543455023719,0.0018249868712107704
15250,19,3,16,0,0,0,0.018385256691531373,0.01754827875734677,0.0008369779341846038,0.01863636363636363,0.01637883008356546,0.002257533552798171,0.15081967213114755,6.615430096788232,0.0018029033373879373
15251,20,5,15,0,0,0,0.018383912248628884,0.017547317892277647,0.0008365943563512362,0.01862366568248921,0.016383393702981332,0.002240271979507876,0.15081967213114755,6.61627327651383,0.0017805200305606624
15252,28,5,23,0,0,0,0.018382568002339866,0.01754584477019214,0.0008367232321477257,0.018619436875567663,0.016320392135019218,0.0022990447405484456,0.15081967213114755,6.617087792237875,0.0017578167290840322
15253,20,6,14,0,0,0,0.0183809551662621,0.017544948208276456,0.0008360069579856425,0.018610985020426688,0.016262879420774156,0.002348105599652532,0.15081967213114755,6.617838405652533,0.0017308124217117302
15254,26,4,22,0,0,0,0.01837988009942974,0.017543539510372113,0.000836340589057627,0.018606761969593825,0.016261973713521942,0.002344788256071883,0.15081967213114755,6.61855444367142,0.0017052972250207266
15255,19,4,15,0,0,0,0.018378805158347222,0.01754257916421854,0.0008362259941286816,0.018619436875567663,0.01620989304812834,0.002409543827439322,0.15081967213114755,6.619210338705521,0.0016764284555900206
15256,18,1,17,0,0,0,0.018378536442722422,0.01754149089900597,0.0008370455437164519,0.01862366568248921,0.016215312604480107,0.002408353078009101,0.15081967213114755,6.619822574630817,0.001647737795888062
15257,23,3,20,0,0,0,0.018377730342992483,0.0175402107598447,0.0008375195831477819,0.01863636363636363,0.016218927655779734,0.002417435980583898,0.15081967213114755,6.620378377776475,0.0016166839849875013
15258,21,1,20,0,0,0,0.018377461658796182,0.017538930807513245,0.000838530851282937,0.018666059640336897,0.016164994425863992,0.002501065214472905,0.15081967213114755,6.6208973191259455,0.0015860361124469273
15259,28,4,24,3,0,3,0.01837638700057015,0.017548340021889822,0.0008280469786803267,0.018666059640336897,0.016330397948946605,0.0023356616913902915,0.15081967213114755,6.621351453700443,0.0015519213266358607
15260,24,3,21,0,0,0,0.018375581089378125,0.017546995669795454,0.0008285854195826704,0.01844682304714188,0.016339504795895604,0.002107318251246274,0.15081967213114755,6.62174125622707,0.001516787569127399
15261,16,8,8,1,1,0,0.01838804922968983,0.01754648358984274,0.000841565639847091,0.01867030965391621,0.016349534066179342,0.0023207755877368667,0.15081967213114755,6.622092306177232,0.001482837016420221
15262,21,4,17,1,0,1,0.01838697418807916,0.01754904321055204,0.0008379309775271189,0.01867030965391621,0.0164089970419155,0.0022613126120007085,0.15081967213114755,6.622383530442186,0.0014458515981274997
15263,29,5,24,0,0,0,0.01838563056282244,0.017547507021191233,0.0008381235416312083,0.018666059640336897,0.016404419149648478,0.0022616404906884192,0.15081967213114755,6.622599313519055,0.0014064195556494437
15264,38,8,30,1,0,1,0.018383481170814397,0.017549234135667394,0.0008342470351470031,0.018666059640336897,0.01645195471529753,0.002214104925039366,0.15081967213114755,6.622764880619696,0.0013684059478401215
15265,27,7,20,0,0,0,0.01838160086501651,0.017547954197359786,0.0008336466676567254,0.018649078917443707,0.016453789949244242,0.002195288968199465,0.15081967213114755,6.622861788633031,0.001327772683835555
15266,27,3,24,0,0,0,0.01838079513741763,0.017546418517816253,0.0008343766196013784,0.018657565415244593,0.016395271023867945,0.002262294391376648,0.15081967213114755,6.6229008761448425,0.001286949854505987
15267,21,9,12,1,0,1,0.018378378378378378,0.017549297007175776,0.0008290813712026023,0.018627896410722395,0.01645195471529753,0.002175941695424864,0.15081967213114755,6.622888917393094,0.0012458367028791426
15268,27,11,16,2,2,0,0.018404639137611194,0.017548273246995684,0.0008563658906155097,0.019051939215241547,0.016449202631872422,0.002602736583369125,0.15081967213114755,6.6228094941018965,0.001202588327414787
15269,20,3,17,0,0,0,0.018403832671184856,0.01754718563267211,0.0008566470385127471,0.0190562613430127,0.01644370122630992,0.0026125601167027793,0.15081967213114755,6.622651640030458,0.0011570616015669272
