t,global_diff
492,2.4414062500083436e-10
493,2.4414062500079077e-10
494,2.4414062500075846e-10
495,2.4414062500076115e-10
496,2.4414062500077314e-10
497,2.441406250007516e-10
498,2.441406250007541e-10
499,2.441406250007299e-10
500,2.441406250006729e-10
501,2.4414062500068345e-10
502,2.4414062500070133e-10
503,2.441406250006885e-10
504,2.441406250007125e-10
505,2.441406250006778e-10
506,2.4414062500068696e-10
507,2.4414062500067895e-10
508,2.441406250007238e-10
509,2.441406250006792e-10
510,2.4414062500067704e-10
511,2.441406250007226e-10
512,2.441406250006774e-10
513,2.4414062500064566e-10
514,2.441406250006228e-10
515,2.441406250006044e-10
516,2.441406250005607e-10
517,2.441406250005753e-10
518,2.441406250005501e-10
519,2.4414062500046254e-10
520,2.441406250004936e-10
521,2.4414062500051703e-10
522,2.4414062500048467e-10
523,2.4414062500048616e-10
524,2.441406250004337e-10
525,2.441406250004111e-10
526,2.4414062500045365e-10
527,2.441406250004402e-10
528,2.441406250004038e-10
529,2.441406250004276e-10
530,2.4414062500041244e-10
531,2.4414062500048456e-10
532,2.441406250004338e-10
533,2.441406250004019e-10
534,2.4414062500043297e-10
535,2.441406250004242e-10
536,2.4414062500043586e-10
537,2.441406250004399e-10
538,2.4414062500043307e-10
539,2.441406250004255e-10
540,2.441406250004007e-10
541,2.441406250003883e-10
542,2.441406250003946e-10
543,2.441406250004028e-10
544,2.4414062500037465e-10
545,2.441406250003482e-10
546,2.4414062500033567e-10
547,2.441406250003611e-10
548,2.441406250003159e-10
549,2.44140625000319e-10
550,2.441406250002847e-10
551,2.4414062500030517e-10
552,2.441406250002637e-10
553,2.441406250002497e-10
554,2.4414062500026267e-10
555,2.4414062500020834e-10
556,2.4414062500024623e-10
557,2.441406250002752e-10
558,2.4414062500025486e-10
559,2.4414062500028795e-10
560,2.4414062500024933e-10
561,2.441406250002816e-10
562,2.4414062500028025e-10
563,2.4414062500023754e-10
564,2.441406250001621e-10
565,2.441406250000879e-10
566,2.4414062500009465e-10
567,2.441406250000582e-10
568,2.4414062500005443e-10
569,2.4414062500002243e-10
570,2.4414062499998556e-10
571,2.4414062499997026e-10
572,2.4414062500000376e-10
573,2.441406250000051e-10
574,2.4414062499997605e-10
575,2.4414062499995677e-10
576,2.4414062500000666e-10
577,2.4414062500000283e-10
578,2.4414062499998494e-10
579,2.4414062499996737e-10
580,2.4414062499996706e-10
581,2.441406249999405e-10
582,2.441406249999998e-10
583,2.4414062500004853e-10
584,2.4414062500011083e-10
585,2.441406250001308e-10
586,2.441406250001529e-10
587,2.441406250001807e-10
588,2.4414062500016475e-10
589,2.4414062500016186e-10
590,2.441406250002221e-10
591,2.4414062500022183e-10
592,2.441406250002364e-10
593,2.4414062500020673e-10
594,2.44140625000215e-10
595,2.4414062500027006e-10
596,2.441406250002817e-10
597,2.4414062500026794e-10
598,2.441406250001996e-10
599,2.44140625000259e-10
600,2.441406250002374e-10
